Atom: Ag, Spin: 1, Partial Phase Shift and DOS at Energy =    0.47203630
Total DOS in Cell and MT Volumes =    3.55373814   2.71650664
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.13036724           0.69025854           0.56175223
  1    -1           0.03799465           0.65007162           0.44181455
  1     0           0.03799465           0.65042602           0.44181455
  1     1           0.03799465           0.65078042           0.44181455
  2    -2           3.00944434           0.17348091           0.16187130
  2    -1           3.00979845           0.16556635           0.15805895
  2     0           3.00909023           0.18140394           0.16568365
  2     1           3.00979845           0.16552983           0.15805895
  2     2           3.00944434           0.17347112           0.16187130
  3    -3           0.00200137           0.00722461           0.00314811
  3    -2           0.00208624           0.00699466           0.00336187
  3    -1           0.00204298           0.00513333           0.00223925
  3     0           0.00193895           0.01126512           0.00451141
  3     1           0.00204298           0.00516852           0.00223925
  3     2           0.00208624           0.00699697           0.00336187
  3     3           0.00200137           0.00796860           0.00314811
  4    -4           0.00004875           0.00008370           0.00025762
  4    -3           0.00005163           0.00025236           0.00009223
  4    -2           0.00005217          -0.00062697           0.00014366
  4    -1           0.00004887           0.00100365           0.00032917
  4     0           0.00004782           0.00000147           0.00011138
  4     1           0.00004887           0.00100375           0.00032917
  4     2           0.00005217          -0.00060372           0.00014366
  4     3           0.00005163           0.00021594           0.00009223
  4     4           0.00004875           0.00066743           0.00025762
