Atom: Al, Spin: 1, Partial Phase Shift and DOS at Energy =    0.60856871
Total DOS in Cell and MT Volumes =    6.15799720   4.47952694
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.33736685           0.97985697           0.89765981
  1    -1           0.41414528           1.31250719           0.97511696
  1     0           0.41414528           1.31250719           0.97511696
  1     1           0.41414528           1.31250719           0.97511696
  2    -2           0.05958359           0.22396766           0.12291186
  2    -1           0.05958359           0.22396766           0.12291186
  2     0           0.05958359           0.22396766           0.12291186
  2     1           0.05958359           0.22396766           0.12291186
  2     2           0.05958359           0.22396766           0.12291186
  3    -3           0.00222943           0.01602094           0.00569091
  3    -2           0.00222943           0.01602094           0.00569091
  3    -1           0.00222943           0.01602094           0.00569091
  3     0           0.00222943           0.01602094           0.00569091
  3     1           0.00222943           0.01602094           0.00569091
  3     2           0.00222943           0.01602094           0.00569091
  3     3           0.00222943           0.01602094           0.00569091
  4    -4           0.00007678           0.00095931           0.00023562
  4    -3           0.00007678           0.00095931           0.00023562
  4    -2           0.00007678           0.00095931           0.00023562
  4    -1           0.00007678           0.00095931           0.00023562
  4     0           0.00007678           0.00095931           0.00023562
  4     1           0.00007678           0.00095931           0.00023562
  4     2           0.00007678           0.00095931           0.00023562
  4     3           0.00007678           0.00095931           0.00023562
  4     4           0.00007678           0.00095931           0.00023562
