Atom: Li, Spin: 1, Partial Phase Shift and DOS at Energy =    0.53332324
Total DOS in Cell and MT Volumes =    3.13343189   2.11004735
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.78615235           0.81678523           0.59844909
  1    -1          -0.06344647           0.59984137           0.41838527
  1     0          -0.06344647           0.59984137           0.41838527
  1     1          -0.06344647           0.59984137           0.41838527
  2    -2           3.12503299           0.09064145           0.04643058
  2    -1           3.12503299           0.09064145           0.04643058
  2     0           3.12503299           0.09064145           0.04643058
  2     1           3.12503299           0.09064145           0.04643058
  2     2           3.12503299           0.09064145           0.04643058
  3    -3          -0.00128965           0.00850539           0.00328969
  3    -2          -0.00128965           0.00850539           0.00328969
  3    -1          -0.00128965           0.00850539           0.00328969
  3     0          -0.00128965           0.00850539           0.00328969
  3     1          -0.00128965           0.00850539           0.00328969
  3     2          -0.00128965           0.00850539           0.00328969
  3     3          -0.00128965           0.00850539           0.00328969
  4    -4          -0.00005668           0.00048639           0.00014019
  4    -3          -0.00005668           0.00048639           0.00014019
  4    -2          -0.00005668           0.00048639           0.00014019
  4    -1          -0.00005668           0.00048639           0.00014019
  4     0          -0.00005668           0.00048639           0.00014019
  4     1          -0.00005668           0.00048639           0.00014019
  4     2          -0.00005668           0.00048639           0.00014019
  4     3          -0.00005668           0.00048639           0.00014019
  4     4          -0.00005668           0.00048639           0.00014019
Atom: Al, Spin: 1, Partial Phase Shift and DOS at Energy =    0.53332324
Total DOS in Cell and MT Volumes =    6.26755722   4.96734823
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.60309116           0.89994975           0.84850525
  1    -1           0.56129509           1.45222013           1.16628017
  1     0           0.56129509           1.45222013           1.16628017
  1     1           0.56129509           1.45222013           1.16628017
  2    -2           0.06380352           0.18660240           0.11731654
  2    -1           0.06380352           0.18660240           0.11731654
  2     0           0.06380352           0.18660240           0.11731654
  2     1           0.06380352           0.18660240           0.11731654
  2     2           0.06380352           0.18660240           0.11731654
  3    -3           0.00232585           0.01045200           0.00455975
  3    -2           0.00232585           0.01045200           0.00455975
  3    -1           0.00232585           0.01045200           0.00455975
  3     0           0.00232585           0.01045200           0.00455975
  3     1           0.00232585           0.01045200           0.00455975
  3     2           0.00232585           0.01045200           0.00455975
  3     3           0.00232585           0.01045200           0.00455975
  4    -4           0.00007709           0.00053012           0.00016684
  4    -3           0.00007709           0.00053012           0.00016684
  4    -2           0.00007709           0.00053012           0.00016684
  4    -1           0.00007709           0.00053012           0.00016684
  4     0           0.00007709           0.00053012           0.00016684
  4     1           0.00007709           0.00053012           0.00016684
  4     2           0.00007709           0.00053012           0.00016684
  4     3           0.00007709           0.00053012           0.00016684
  4     4           0.00007709           0.00053012           0.00016684
