Atom: Li, Spin: 1, Partial Phase Shift and DOS at Energy =    0.53332324
Total DOS in Cell and MT Volumes =    3.13036627   2.03057249
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.78615235           0.63804932           0.46747289
  1    -1          -0.06344647           0.55515967           0.38717980
  1     0          -0.06344647           0.55515967           0.38717980
  1     1          -0.06344647           0.55515967           0.38717980
  2    -2           3.12503299           0.12866559           0.06590728
  2    -1           3.12503299           0.15513762           0.07946635
  2     0           3.12503299           0.10219356           0.05234821
  2     1           3.12503299           0.15513762           0.07946635
  2     2           3.12503299           0.12866559           0.06590728
  3    -3          -0.00128965           0.01833429           0.00709161
  3    -2          -0.00128965           0.02099474           0.00812095
  3    -1          -0.00128965           0.01884490           0.00728938
  3     0          -0.00128965           0.01756838           0.00679496
  3     1          -0.00128965           0.01884490           0.00728938
  3     2          -0.00128965           0.02099474           0.00812095
  3     3          -0.00128965           0.01833429           0.00709161
  4    -4          -0.00005668           0.00257850           0.00074336
  4    -3          -0.00005668           0.00257483           0.00074232
  4    -2          -0.00005668           0.00245594           0.00070810
  4    -1          -0.00005668           0.00281907           0.00081267
  4     0          -0.00005668           0.00226503           0.00065300
  4     1          -0.00005668           0.00281907           0.00081267
  4     2          -0.00005668           0.00245594           0.00070810
  4     3          -0.00005668           0.00257483           0.00074232
  4     4          -0.00005668           0.00257850           0.00074336
Atom: Al, Spin: 1, Partial Phase Shift and DOS at Energy =    0.53332324
Total DOS in Cell and MT Volumes =    5.74505597   4.45032206
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.60309116           1.02051503           0.96222036
  1    -1           0.56129509           1.06497807           0.85526768
  1     0           0.56129509           1.06497807           0.85526768
  1     1           0.56129509           1.06497807           0.85526768
  2    -2           0.06380352           0.25857259           0.16255828
  2    -1           0.06380352           0.30673289           0.19283119
  2     0           0.06380352           0.21041228           0.13228537
  2     1           0.06380352           0.30673289           0.19283119
  2     2           0.06380352           0.25857259           0.16255828
  3    -3           0.00232585           0.02223879           0.00970229
  3    -2           0.00232585           0.02596553           0.01132861
  3    -1           0.00232585           0.02308143           0.01007031
  3     0           0.00232585           0.02097483           0.00915026
  3     1           0.00232585           0.02308143           0.01007031
  3     2           0.00232585           0.02596553           0.01132861
  3     3           0.00232585           0.02223879           0.00970229
  4    -4           0.00007709           0.00275597           0.00086756
  4    -3           0.00007709           0.00281832           0.00088721
  4    -2           0.00007709           0.00272964           0.00085936
  4    -1           0.00007709           0.00307820           0.00096895
  4     0           0.00007709           0.00227287           0.00071552
  4     1           0.00007709           0.00307820           0.00096895
  4     2           0.00007709           0.00272964           0.00085936
  4     3           0.00007709           0.00281832           0.00088721
  4     4           0.00007709           0.00275597           0.00086756
