Atom: Al, Spin: 1, Partial Phase Shift and DOS at Energy =    0.55344295
Total DOS in Cell and MT Volumes =    7.40859938   5.72148841
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.44619436           1.48287432           1.39008790
  1    -1           0.47415198           1.17720923           0.93702992
  1     0           0.47415198           1.55750813           1.23979613
  1     1           0.47415198           1.17720923           0.93702992
  2    -2           0.05783942           0.34609615           0.21557992
  2    -1           0.05783942           0.33778892           0.21041818
  2     0           0.05783942           0.47188163           0.29392395
  2     1           0.05783942           0.33778892           0.21041818
  2     2           0.05783942           0.34609615           0.21557992
  3    -3           0.00210377           0.02143481           0.00928712
  3    -2           0.00210377           0.02163892           0.00937603
  3    -1           0.00210377           0.01561791           0.00676767
  3     0           0.00210377           0.02488551           0.01078145
  3     1           0.00210377           0.01561791           0.00676767
  3     2           0.00210377           0.02163892           0.00937603
  3     3           0.00210377           0.02143481           0.00928712
  4    -4           0.00006991           0.00450363           0.00141010
  4    -3           0.00006991           0.00363285           0.00113751
  4    -2           0.00006991           0.00216672           0.00067851
  4    -1           0.00006991           0.00310755           0.00097300
  4     0           0.00006991           0.00505638           0.00158305
  4     1           0.00006991           0.00310755           0.00097300
  4     2           0.00006991           0.00216672           0.00067851
  4     3           0.00006991           0.00363285           0.00113751
  4     4           0.00006991           0.00450363           0.00141010
