Atom: Al, Spin: 1, Partial Phase Shift and DOS at Energy =    0.60694306
Total DOS in Cell and MT Volumes =    6.11543621   4.79653794
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.36889607           0.92789227           0.87299015
  1    -1           0.46790994           1.31973053           1.05797864
  1     0           0.46790994           1.31973053           1.05797864
  1     1           0.46790994           1.31973053           1.05797864
  2    -2           0.06821052           0.22297743           0.14018794
  2    -1           0.06821052           0.22297743           0.14018794
  2     0           0.06821052           0.22297743           0.14018794
  2     1           0.06821052           0.22297743           0.14018794
  2     2           0.06821052           0.22297743           0.14018794
  3    -3           0.00273420           0.01506846           0.00659255
  3    -2           0.00273420           0.01506846           0.00659255
  3    -1           0.00273420           0.01506846           0.00659255
  3     0           0.00273420           0.01506846           0.00659255
  3     1           0.00273420           0.01506846           0.00659255
  3     2           0.00273420           0.01506846           0.00659255
  3     3           0.00273420           0.01506846           0.00659255
  4    -4           0.00010040           0.00088733           0.00028048
  4    -3           0.00010040           0.00088733           0.00028048
  4    -2           0.00010040           0.00088733           0.00028048
  4    -1           0.00010040           0.00088733           0.00028048
  4     0           0.00010040           0.00088733           0.00028048
  4     1           0.00010040           0.00088733           0.00028048
  4     2           0.00010040           0.00088733           0.00028048
  4     3           0.00010040           0.00088733           0.00028048
  4     4           0.00010040           0.00088733           0.00028048
Atom: Mg, Spin: 1, Partial Phase Shift and DOS at Energy =    0.60694306
Total DOS in Cell and MT Volumes =    4.63030233   3.35069123
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.21245195           1.14499212           0.97105050
  1    -1           0.09042903           0.82278178           0.59720678
  1     0           0.09042903           0.82278178           0.59720678
  1     1           0.09042903           0.82278178           0.59720678
  2    -2           0.03879635           0.18170565           0.10854263
  2    -1           0.03879635           0.18170565           0.10854263
  2     0           0.03879635           0.18170565           0.10854263
  2     1           0.03879635           0.18170565           0.10854263
  2     2           0.03879635           0.18170565           0.10854263
  3    -3           0.00157334           0.01437045           0.00612458
  3    -2           0.00157334           0.01437045           0.00612458
  3    -1           0.00157334           0.01437045           0.00612458
  3     0           0.00157334           0.01437045           0.00612458
  3     1           0.00157334           0.01437045           0.00612458
  3     2           0.00157334           0.01437045           0.00612458
  3     3           0.00157334           0.01437045           0.00612458
  4    -4           0.00005548           0.00087150           0.00027057
  4    -3           0.00005548           0.00087150           0.00027057
  4    -2           0.00005548           0.00087150           0.00027057
  4    -1           0.00005548           0.00087150           0.00027057
  4     0           0.00005548           0.00087150           0.00027057
  4     1           0.00005548           0.00087150           0.00027057
  4     2           0.00005548           0.00087150           0.00027057
  4     3           0.00005548           0.00087150           0.00027057
  4     4           0.00005548           0.00087150           0.00027057
