Atom: Al, Spin: 1, Partial Phase Shift and DOS at Energy =    0.60667990
Total DOS in Cell and MT Volumes =    6.05000894   4.73383682
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.35188634           0.94926962           0.89068458
  1    -1           0.44403850           1.29850884           1.03690572
  1     0           0.44403850           1.29850884           1.03690572
  1     1           0.44403850           1.29850884           1.03690572
  2    -2           0.06495907           0.21850513           0.13684636
  2    -1           0.06495907           0.21850513           0.13684636
  2     0           0.06495907           0.21850513           0.13684636
  2     1           0.06495907           0.21850513           0.13684636
  2     2           0.06495907           0.21850513           0.13684636
  3    -3           0.00257502           0.01496214           0.00652790
  3    -2           0.00257502           0.01496214           0.00652790
  3    -1           0.00257502           0.01496214           0.00652790
  3     0           0.00257502           0.01496214           0.00652790
  3     1           0.00257502           0.01496214           0.00652790
  3     2           0.00257502           0.01496214           0.00652790
  3     3           0.00257502           0.01496214           0.00652790
  4    -4           0.00009346           0.00088357           0.00027866
  4    -3           0.00009346           0.00088357           0.00027866
  4    -2           0.00009346           0.00088357           0.00027866
  4    -1           0.00009346           0.00088357           0.00027866
  4     0           0.00009346           0.00088357           0.00027866
  4     1           0.00009346           0.00088357           0.00027866
  4     2           0.00009346           0.00088357           0.00027866
  4     3           0.00009346           0.00088357           0.00027866
  4     4           0.00009346           0.00088357           0.00027866
