Atom: Al, Spin: 1, Partial Phase Shift and DOS at Energy =    0.60667990
Total DOS in Cell and MT Volumes =    7.46047951   5.87707561
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.35188634           1.07442172           1.00819523
  1    -1           0.44403850           1.72440135           1.37715225
  1     0           0.44403850           1.72440135           1.37715225
  1     1           0.44403850           1.72440135           1.37715225
  2    -2           0.06495907           0.20257966           0.12690002
  2    -1           0.06495907           0.29168406           0.18272023
  2     0           0.06495907           0.11347526           0.07107981
  2     1           0.06495907           0.29168406           0.18272023
  2     2           0.06495907           0.20257966           0.12690002
  3    -3           0.00257502           0.01513918           0.00660661
  3    -2           0.00257502           0.01266239           0.00552692
  3    -1           0.00257502           0.01372223           0.00598860
  3     0           0.00257502           0.01726460           0.00753363
  3     1           0.00257502           0.01372223           0.00598860
  3     2           0.00257502           0.01266239           0.00552692
  3     3           0.00257502           0.01513918           0.00660661
  4    -4           0.00009346           0.00145771           0.00045992
  4    -3           0.00009346           0.00089147           0.00028134
  4    -2           0.00009346           0.00051598           0.00016288
  4    -1           0.00009346           0.00171901           0.00054235
  4     0           0.00009346           0.00137052           0.00043241
  4     1           0.00009346           0.00171901           0.00054235
  4     2           0.00009346           0.00051598           0.00016288
  4     3           0.00009346           0.00089147           0.00028134
  4     4           0.00009346           0.00145771           0.00045992
