Atom: Au, Spin: 1, Partial Phase Shift and DOS at Energy =    0.70303490
Total DOS in Cell and MT Volumes =    4.31621427   3.42976478
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.48270314           0.90282879           0.72411470
  1    -1          -0.11234798           0.56924460           0.38168163
  1     0          -0.11234798           0.56997692           0.38168163
  1     1          -0.11234798           0.57070925           0.38168163
  2    -2           2.83960711           0.30647021           0.29489377
  2    -1           2.84195182           0.30258569           0.29597855
  2     0           2.83726240           0.31024500           0.29380898
  2     1           2.84195182           0.30261992           0.29597855
  2     2           2.83960711           0.30637761           0.29489377
  3    -3           0.00644522           0.02358024           0.01143624
  3    -2           0.00821995           0.02121763           0.01174429
  3    -1           0.00706669           0.02208893           0.01154789
  3     0           0.00551307           0.02775817           0.01126876
  3     1           0.00706680           0.02230926           0.01154789
  3     2           0.00821995           0.02120656           0.01174429
  3     3           0.00644533           0.02526521           0.01143624
  4    -4           0.00012781           0.00103563           0.00047972
  4    -3           0.00028977           0.00117723           0.00048294
  4    -2           0.00022388           0.00147580           0.00047991
  4    -1           0.00023250           0.00136270           0.00047829
  4     0          -0.00001367           0.00112517           0.00048426
  4     1           0.00023250           0.00136348           0.00047829
  4     2           0.00022388           0.00134594           0.00047991
  4     3           0.00028977           0.00121224           0.00048294
  4     4           0.00012781           0.00163209           0.00047972
