Atom: Au, Spin: 1, Partial Phase Shift and DOS at Energy =    0.70303490
Total DOS in Cell and MT Volumes =    2.99488310   2.42827487
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.48270314           0.62679445           0.50025454
  1    -1          -0.11234798           0.39258716           0.26339645
  1     0          -0.11234798           0.39331949           0.26339645
  1     1          -0.11234798           0.39405181           0.26339645
  2    -2           2.83960711           0.22765515           0.22071740
  2    -1           2.84195182           0.24186078           0.23669669
  2     0           2.83726240           0.21333980           0.20473810
  2     1           2.84195182           0.24189502           0.23669669
  2     2           2.83960711           0.22756255           0.22071740
  3    -3           0.00644522           0.00350788           0.00208262
  3    -2           0.00821995           0.00440110           0.00232488
  3    -1           0.00706669           0.00337191           0.00178983
  3     0           0.00551307           0.00565281           0.00252179
  3     1           0.00706680           0.00359224           0.00178983
  3     2           0.00821995           0.00439002           0.00232488
  3     3           0.00644533           0.00519286           0.00208262
  4    -4           0.00012781           0.00072851           0.00049764
  4    -3           0.00028977           0.00023621           0.00012427
  4    -2           0.00022388          -0.00020110           0.00040042
  4    -1           0.00023250           0.00137932           0.00047850
  4     0          -0.00001367           0.00091979           0.00034660
  4     1           0.00023250           0.00138010           0.00047850
  4     2           0.00022388          -0.00033096           0.00040042
  4     3           0.00028977           0.00027123           0.00012427
  4     4           0.00012781           0.00132497           0.00049764
