Atom: Au, Spin: 1, Partial Phase Shift and DOS at Energy =    0.55342989
Total DOS in Cell and MT Volumes =    6.42503046   5.01647745
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.29324608           1.22651218           0.99224048
  1    -1          -0.03480132           1.04702051           0.70128505
  1     0          -0.03480132           1.04702051           0.70128505
  1     1          -0.03480132           1.04702051           0.70128505
  2    -2           2.92364655           0.39032070           0.37406998
  2    -1           2.92364655           0.39708341           0.38055161
  2     0           2.92364655           0.38355799           0.36758834
  2     1           2.92364655           0.39708341           0.38055161
  2     2           2.92364655           0.39032070           0.37406998
  3    -3           0.00420423           0.00924307           0.00431663
  3    -2           0.00420423           0.01749552           0.00817384
  3    -1           0.00420423           0.00701412           0.00327447
  3     0           0.00420423           0.01258649           0.00587988
  3     1           0.00420423           0.00701412           0.00327447
  3     2           0.00420423           0.01749552           0.00817384
  3     3           0.00420423           0.00924307           0.00431663
  4    -4           0.00012060           0.00275798           0.00089158
  4    -3           0.00012060           0.00110168           0.00035583
  4    -2           0.00012060           0.00145907           0.00047130
  4    -1           0.00012060           0.00344969           0.00111535
  4     0           0.00012060           0.00146181           0.00047237
  4     1           0.00012060           0.00344969           0.00111535
  4     2           0.00012060           0.00145907           0.00047130
  4     3           0.00012060           0.00110168           0.00035583
  4     4           0.00012060           0.00275798           0.00089158
