Atom: Au, Spin: 1, Partial Phase Shift and DOS at Energy =    0.55692032
Total DOS in Cell and MT Volumes =    4.42923342   3.47520282
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.29455898           1.08566799           0.87929204
  1    -1          -0.03484052           0.63242528           0.42402186
  1     0          -0.03484052           0.63242528           0.42402186
  1     1          -0.03484052           0.63242528           0.42402186
  2    -2           2.92351053           0.26546866           0.25385380
  2    -1           2.92351053           0.26546866           0.25385380
  2     0           2.92351053           0.26546866           0.25385380
  2     1           2.92351053           0.26546866           0.25385380
  2     2           2.92351053           0.26546866           0.25385380
  3    -3           0.00429668           0.01592198           0.00745010
  3    -2           0.00429668           0.01592198           0.00745010
  3    -1           0.00429668           0.01592198           0.00745010
  3     0           0.00429668           0.01592198           0.00745010
  3     1           0.00429668           0.01592198           0.00745010
  3     2           0.00429668           0.01592198           0.00745010
  3     3           0.00429668           0.01592198           0.00745010
  4    -4           0.00012398           0.00083249           0.00026950
  4    -3           0.00012398           0.00083249           0.00026950
  4    -2           0.00012398           0.00083249           0.00026950
  4    -1           0.00012398           0.00083249           0.00026950
  4     0           0.00012398           0.00083249           0.00026950
  4     1           0.00012398           0.00083249           0.00026950
  4     2           0.00012398           0.00083249           0.00026950
  4     3           0.00012398           0.00083249           0.00026950
  4     4           0.00012398           0.00083249           0.00026950
