Atom: Au, Spin: 1, Partial Phase Shift and DOS at Energy =    0.55692032
Total DOS in Cell and MT Volumes =    3.22713562   2.54116456
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.29455898           0.65752452           0.53253488
  1    -1          -0.03484052           0.49046909           0.32884456
  1     0          -0.03484052           0.49046909           0.32884456
  1     1          -0.03484052           0.49046909           0.32884456
  2    -2           2.92351053           0.21008599           0.20089424
  2    -1           2.92351053           0.20299435           0.19411288
  2     0           2.92351053           0.21717762           0.20767560
  2     1           2.92351053           0.20299435           0.19411288
  2     2           2.92351053           0.21008599           0.20089424
  3    -3           0.00429668           0.00665289           0.00311297
  3    -2           0.00429668           0.00684190           0.00320141
  3    -1           0.00429668           0.00492454           0.00230426
  3     0           0.00429668           0.00924541           0.00432605
  3     1           0.00429668           0.00492454           0.00230426
  3     2           0.00429668           0.00684190           0.00320141
  3     3           0.00429668           0.00665289           0.00311297
  4    -4           0.00012398           0.00130476           0.00042239
  4    -3           0.00012398           0.00040764           0.00013197
  4    -2           0.00012398           0.00081154           0.00026272
  4    -1           0.00012398           0.00148040           0.00047925
  4     0           0.00012398           0.00077277           0.00025017
  4     1           0.00012398           0.00148040           0.00047925
  4     2           0.00012398           0.00081154           0.00026272
  4     3           0.00012398           0.00040764           0.00013197
  4     4           0.00012398           0.00130476           0.00042239
