Atom: Au, Spin: 1, Partial Phase Shift and DOS at Energy =    0.25511932
Total DOS in Cell and MT Volumes =    3.66726474   2.86824649
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.02324726           1.32023403           0.99007959
  1    -1           0.11171232           0.46641814           0.31235301
  1     0           0.11171232           0.46641814           0.31235301
  1     1           0.11171232           0.46641814           0.31235301
  2    -2           3.06013187           0.18810263           0.18757072
  2    -1           3.06013187           0.18810263           0.18757072
  2     0           3.06013187           0.18810263           0.18757072
  2     1           3.06013187           0.18810263           0.18757072
  2     2           3.06013187           0.18810263           0.18757072
  3    -3           0.00039317           0.00101013           0.00045633
  3    -2           0.00039317           0.00101013           0.00045633
  3    -1           0.00039317           0.00101013           0.00045633
  3     0           0.00039317           0.00101013           0.00045633
  3     1           0.00039317           0.00101013           0.00045633
  3     2           0.00039317           0.00101013           0.00045633
  3     3           0.00039317           0.00101013           0.00045633
  4    -4           0.00000519           0.00002136           0.00000667
  4    -3           0.00000519           0.00002136           0.00000667
  4    -2           0.00000519           0.00002136           0.00000667
  4    -1           0.00000519           0.00002136           0.00000667
  4     0           0.00000519           0.00002136           0.00000667
  4     1           0.00000519           0.00002136           0.00000667
  4     2           0.00000519           0.00002136           0.00000667
  4     3           0.00000519           0.00002136           0.00000667
  4     4           0.00000519           0.00002136           0.00000667
