Atom: Au, Spin: 1, Partial Phase Shift and DOS at Energy =    0.25511932
Total DOS in Cell and MT Volumes =    3.56501331   3.19463227
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.02324726           0.75962418           0.56966294
  1    -1           0.11171232           0.18025554           0.12071435
  1     0           0.11171232           0.04965568           0.03325364
  1     1           0.11171232           0.18025554           0.12071435
  2    -2           3.06013187           0.51873521           0.51726835
  2    -1           3.06013187           0.52797036           0.52647737
  2     0           3.06013187           0.23554885           0.23488277
  2     1           3.06013187           0.52797036           0.52647737
  2     2           3.06013187           0.51873521           0.51726835
  3    -3           0.00039317           0.01034437           0.00467311
  3    -2           0.00039317           0.00509179           0.00230024
  3    -1           0.00039317           0.00924144           0.00417486
  3     0           0.00039317           0.00243800           0.00110137
  3     1           0.00039317           0.00924144           0.00417486
  3     2           0.00039317           0.00509179           0.00230024
  3     3           0.00039317           0.01034437           0.00467311
  4    -4           0.00000519           0.00263476           0.00082216
  4    -3           0.00000519           0.00047337           0.00014771
  4    -2           0.00000519           0.00251977           0.00078628
  4    -1           0.00000519           0.00085496           0.00026678
  4     0           0.00000519           0.00150347           0.00046915
  4     1           0.00000519           0.00085496           0.00026678
  4     2           0.00000519           0.00251977           0.00078628
  4     3           0.00000519           0.00047337           0.00014771
  4     4           0.00000519           0.00263476           0.00082216
