Atom: Co, Spin: 1, Partial Phase Shift and DOS at Energy =    0.71955469
Total DOS in Cell and MT Volumes =    2.66832849   2.48452520
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.37679778           0.22226911           0.17622065
  1    -1          -0.01115762           0.11392767           0.07732303
  1     0          -0.01115762           0.14280499           0.09692215
  1     1          -0.01115762           0.11392767           0.07732303
  2    -2           2.85424018           0.46334999           0.46226332
  2    -1           2.85424018           0.35856920           0.35772827
  2     0           2.85424018           0.40806576           0.40710875
  2     1           2.85424018           0.35856920           0.35772827
  2     2           2.85424018           0.46334999           0.46226332
  3    -3           0.00195339           0.00230658           0.00100338
  3    -2           0.00195339           0.00306922           0.00133514
  3    -1           0.00195339           0.00241816           0.00105192
  3     0           0.00195339           0.00322491           0.00140286
  3     1           0.00195339           0.00241816           0.00105192
  3     2           0.00195339           0.00306922           0.00133514
  3     3           0.00195339           0.00230658           0.00100338
  4    -4           0.00005836           0.00034829           0.00010865
  4    -3           0.00005836           0.00040494           0.00012633
  4    -2           0.00005836           0.00105560           0.00032931
  4    -1           0.00005836           0.00045847           0.00014303
  4     0           0.00005836           0.00014751           0.00004602
  4     1           0.00005836           0.00045847           0.00014303
  4     2           0.00005836           0.00105560           0.00032931
  4     3           0.00005836           0.00040494           0.00012633
  4     4           0.00005836           0.00034829           0.00010865
Atom: Co, Spin: 2, Partial Phase Shift and DOS at Energy =    0.71955469
Total DOS in Cell and MT Volumes =   10.12005762   9.71998076
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.39653184           0.03851084           0.03034822
  1    -1          -0.01870533           0.17055059           0.11523101
  1     0          -0.01870533           0.12701224           0.08581471
  1     1          -0.01870533           0.17055059           0.11523101
  2    -2           2.39699716           1.18181842           1.16630340
  2    -1           2.39699716           3.05010019           3.01005820
  2     0           2.39699716           0.95125493           0.93876678
  2     1           2.39699716           3.05010019           3.01005820
  2     2           2.39699716           1.18181842           1.16630340
  3    -3           0.00200615           0.03603075           0.01566850
  3    -2           0.00200615           0.01644606           0.00715181
  3    -1           0.00200615           0.02590555           0.01126541
  3     0           0.00200615           0.00580241           0.00252326
  3     1           0.00200615           0.02590555           0.01126541
  3     2           0.00200615           0.01644606           0.00715181
  3     3           0.00200615           0.03603075           0.01566850
  4    -4           0.00006161           0.00568380           0.00177487
  4    -3           0.00006161           0.00368075           0.00114938
  4    -2           0.00006161           0.00210642           0.00065777
  4    -1           0.00006161           0.00482367           0.00150628
  4     0           0.00006161           0.00318482           0.00099452
  4     1           0.00006161           0.00482367           0.00150628
  4     2           0.00006161           0.00210642           0.00065777
  4     3           0.00006161           0.00368075           0.00114938
  4     4           0.00006161           0.00568380           0.00177487
