Atom: Co, Spin: 1, Partial Phase Shift and DOS at Energy =    0.78777066
Total DOS in Cell and MT Volumes =    3.33278634   3.01093117
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.45042977           0.37031749           0.28958063
  1    -1          -0.03873280           0.21980426           0.14742605
  1     0          -0.03873280           0.21980426           0.14742605
  1     1          -0.03873280           0.21980426           0.14742605
  2    -2           2.81001495           0.45356608           0.45282798
  2    -1           2.81001495           0.45356608           0.45282798
  2     0           2.81001495           0.45356608           0.45282798
  2     1           2.81001495           0.45356608           0.45282798
  2     2           2.81001495           0.45356608           0.45282798
  3    -3           0.00226850           0.00469856           0.00203039
  3    -2           0.00226850           0.00469856           0.00203039
  3    -1           0.00226850           0.00469856           0.00203039
  3     0           0.00226850           0.00469856           0.00203039
  3     1           0.00226850           0.00469856           0.00203039
  3     2           0.00226850           0.00469856           0.00203039
  3     3           0.00226850           0.00469856           0.00203039
  4    -4           0.00007049           0.00025953           0.00007998
  4    -3           0.00007049           0.00025953           0.00007998
  4    -2           0.00007049           0.00025953           0.00007998
  4    -1           0.00007049           0.00025953           0.00007998
  4     0           0.00007049           0.00025953           0.00007998
  4     1           0.00007049           0.00025953           0.00007998
  4     2           0.00007049           0.00025953           0.00007998
  4     3           0.00007049           0.00025953           0.00007998
  4     4           0.00007049           0.00025953           0.00007998
Atom: Co, Spin: 2, Partial Phase Shift and DOS at Energy =    0.78777066
Total DOS in Cell and MT Volumes =   11.32163743  10.86696485
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.46912137           0.36482817           0.28362017
  1    -1          -0.04682521           0.21563016           0.14398491
  1     0          -0.04682521           0.21563016           0.14398491
  1     1          -0.04682521           0.21563016           0.14398491
  2    -2           2.38276567           2.05493397           2.02729137
  2    -1           2.38276567           2.05493397           2.02729137
  2     0           2.38276567           2.05493397           2.02729137
  2     1           2.38276567           2.05493397           2.02729137
  2     2           2.38276567           2.05493397           2.02729137
  3    -3           0.00231037           0.00470151           0.00203029
  3    -2           0.00231037           0.00470151           0.00203029
  3    -1           0.00231037           0.00470151           0.00203029
  3     0           0.00231037           0.00470151           0.00203029
  3     1           0.00231037           0.00470151           0.00203029
  3     2           0.00231037           0.00470151           0.00203029
  3     3           0.00231037           0.00470151           0.00203029
  4    -4           0.00007358           0.00025982           0.00008012
  4    -3           0.00007358           0.00025982           0.00008012
  4    -2           0.00007358           0.00025982           0.00008012
  4    -1           0.00007358           0.00025982           0.00008012
  4     0           0.00007358           0.00025982           0.00008012
  4     1           0.00007358           0.00025982           0.00008012
  4     2           0.00007358           0.00025982           0.00008012
  4     3           0.00007358           0.00025982           0.00008012
  4     4           0.00007358           0.00025982           0.00008012
