Atom: Co, Spin: 1, Partial Phase Shift and DOS at Energy =    0.69043854
Total DOS in Cell and MT Volumes =    2.67995238   2.47400968
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.34580354           0.25583533           0.20169235
  1    -1          -0.00095144           0.12324270           0.08258404
  1     0          -0.00095144           0.15382396           0.10307632
  1     1          -0.00095144           0.12324270           0.08258404
  2    -2           2.87227655           0.44320275           0.44192157
  2    -1           2.87227655           0.35094180           0.34992732
  2     0           2.87227655           0.41234400           0.41115203
  2     1           2.87227655           0.35094180           0.34992732
  2     2           2.87227655           0.44320275           0.44192157
  3    -3           0.00179851           0.00226597           0.00095558
  3    -2           0.00179851           0.00313881           0.00132367
  3    -1           0.00179851           0.00220581           0.00093021
  3     0           0.00179851           0.00344076           0.00145101
  3     1           0.00179851           0.00220581           0.00093021
  3     2           0.00179851           0.00313881           0.00132367
  3     3           0.00179851           0.00226597           0.00095558
  4    -4           0.00005238           0.00033972           0.00010187
  4    -3           0.00005238           0.00039799           0.00011934
  4    -2           0.00005238           0.00098394           0.00029505
  4    -1           0.00005238           0.00046307           0.00013886
  4     0           0.00005238           0.00014322           0.00004295
  4     1           0.00005238           0.00046307           0.00013886
  4     2           0.00005238           0.00098394           0.00029505
  4     3           0.00005238           0.00039799           0.00011934
  4     4           0.00005238           0.00033972           0.00010187
Atom: Co, Spin: 2, Partial Phase Shift and DOS at Energy =    0.69043854
Total DOS in Cell and MT Volumes =    9.16261118   8.73791927
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.36620806           0.03435967           0.02691423
  1    -1          -0.00831557           0.17869446           0.11917293
  1     0          -0.00831557           0.13529292           0.09022805
  1     1          -0.00831557           0.17869446           0.11917293
  2    -2           2.39547964           0.98957148           0.97579420
  2    -1           2.39547964           2.75297963           2.71465136
  2     0           2.39547964           0.92325085           0.91039691
  2     1           2.39547964           2.75297963           2.71465136
  2     2           2.39547964           0.98957148           0.97579420
  3    -3           0.00185275           0.04793804           0.02021133
  3    -2           0.00185275           0.01820003           0.00767338
  3    -1           0.00185275           0.02592838           0.01093176
  3     0           0.00185275           0.00474778           0.00200173
  3     1           0.00185275           0.02592838           0.01093176
  3     2           0.00185275           0.01820003           0.00767338
  3     3           0.00185275           0.04793804           0.02021133
  4    -4           0.00005554           0.00566422           0.00170039
  4    -3           0.00005554           0.00517788           0.00155439
  4    -2           0.00005554           0.00182039           0.00054648
  4    -1           0.00005554           0.00493138           0.00148039
  4     0           0.00005554           0.00314817           0.00094508
  4     1           0.00005554           0.00493138           0.00148039
  4     2           0.00005554           0.00182039           0.00054648
  4     3           0.00005554           0.00517788           0.00155439
  4     4           0.00005554           0.00566422           0.00170039
