Atom: Co, Spin: 1, Partial Phase Shift and DOS at Energy =    0.67829590
Total DOS in Cell and MT Volumes =    3.11662048   2.76896139
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.32936023           0.43138081           0.34396181
  1    -1           0.00516252           0.24716734           0.16823925
  1     0           0.00516252           0.24716734           0.16823925
  1     1           0.00516252           0.24716734           0.16823925
  2    -2           2.88083270           0.38268499           0.38147660
  2    -1           2.88083270           0.38268499           0.38147660
  2     0           2.88083270           0.38268499           0.38147660
  2     1           2.88083270           0.38268499           0.38147660
  2     2           2.88083270           0.38268499           0.38147660
  3    -3           0.00176384           0.00406199           0.00175926
  3    -2           0.00176384           0.00406199           0.00175926
  3    -1           0.00176384           0.00406199           0.00175926
  3     0           0.00176384           0.00406199           0.00175926
  3     1           0.00176384           0.00406199           0.00175926
  3     2           0.00176384           0.00406199           0.00175926
  3     3           0.00176384           0.00406199           0.00175926
  4    -4           0.00005125           0.00020875           0.00006489
  4    -3           0.00005125           0.00020875           0.00006489
  4    -2           0.00005125           0.00020875           0.00006489
  4    -1           0.00005125           0.00020875           0.00006489
  4     0           0.00005125           0.00020875           0.00006489
  4     1           0.00005125           0.00020875           0.00006489
  4     2           0.00005125           0.00020875           0.00006489
  4     3           0.00005125           0.00020875           0.00006489
  4     4           0.00005125           0.00020875           0.00006489
Atom: Co, Spin: 2, Partial Phase Shift and DOS at Energy =    0.67829590
Total DOS in Cell and MT Volumes =   14.15524514  13.64450502
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.34984169           0.42457033           0.33642376
  1    -1          -0.00198911           0.24249366           0.16430009
  1     0          -0.00198911           0.24249366           0.16430009
  1     1          -0.00198911           0.24249366           0.16430009
  2    -2           2.40381165           2.59456530           2.56045192
  2    -1           2.40381165           2.59456530           2.56045192
  2     0           2.40381165           2.59456530           2.56045192
  2     1           2.40381165           2.59456530           2.56045192
  2     2           2.40381165           2.59456530           2.56045192
  3    -3           0.00182163           0.00406935           0.00176225
  3    -2           0.00182163           0.00406935           0.00176225
  3    -1           0.00182163           0.00406935           0.00176225
  3     0           0.00182163           0.00406935           0.00176225
  3     1           0.00182163           0.00406935           0.00176225
  3     2           0.00182163           0.00406935           0.00176225
  3     3           0.00182163           0.00406935           0.00176225
  4    -4           0.00005451           0.00020910           0.00006507
  4    -3           0.00005451           0.00020910           0.00006507
  4    -2           0.00005451           0.00020910           0.00006507
  4    -1           0.00005451           0.00020910           0.00006507
  4     0           0.00005451           0.00020910           0.00006507
  4     1           0.00005451           0.00020910           0.00006507
  4     2           0.00005451           0.00020910           0.00006507
  4     3           0.00005451           0.00020910           0.00006507
  4     4           0.00005451           0.00020910           0.00006507
