Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.82196150
Total DOS in Cell and MT Volumes =   14.46630828  12.65617919
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.31448168           1.52140109           1.23239761
  1    -1           0.02581106           1.45733830           1.00730810
  1     0           0.02581106           1.45776989           1.00730810
  1     1           0.02581106           1.45820148           1.00730810
  2    -2           2.91168953           1.68364770           1.66479175
  2    -1           2.91376262           1.71190961           1.69767286
  2     0           2.90961644           1.65473608           1.63191064
  2     1           2.91376262           1.71215117           1.69767286
  2     2           2.91168953           1.68311877           1.66479175
  3    -3           0.00176252           0.01310718           0.00375056
  3    -2           0.00255377           0.02069951           0.00969034
  3    -1           0.00203084           0.01014159           0.00342102
  3     0           0.00136006           0.01866606           0.00424486
  3     1           0.00203085           0.01020461           0.00342102
  3     2           0.00255377           0.02069408           0.00969034
  3     3           0.00176254           0.01403339           0.00375056
  4    -4           0.00002335           0.00344042           0.00105341
  4    -3           0.00008681           0.00048405           0.00037716
  4    -2           0.00006047          -0.00002106           0.00044334
  4    -1           0.00006422           0.00451413           0.00147317
  4     0          -0.00003140           0.00218522           0.00035451
  4     1           0.00006422           0.00451441           0.00147317
  4     2           0.00006047          -0.00050470           0.00044334
  4     3           0.00008681           0.00072590           0.00037716
  4     4           0.00002335           0.00314939           0.00105341
