Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.77994629
Total DOS in Cell and MT Volumes =    4.92441206   4.24128443
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.28173800           0.81095155           0.66257964
  1    -1           0.03362724           0.51094515           0.35611594
  1     0           0.03362724           0.51139844           0.35611594
  1     1           0.03362724           0.51185173           0.35611594
  2    -2           2.92218736           0.50343073           0.49653831
  2    -1           2.92426364           0.49948512           0.49524489
  2     0           2.92011109           0.50668154           0.49783173
  2     1           2.92426364           0.49974822           0.49524489
  2     2           2.92218736           0.50286749           0.49653831
  3    -3           0.00147657           0.00871026           0.00391313
  3    -2           0.00224242           0.00783544           0.00398314
  3    -1           0.00174311           0.00823693           0.00393763
  3     0           0.00107678           0.01058467           0.00387639
  3     1           0.00174312           0.00829931           0.00393763
  3     2           0.00224242           0.00783093           0.00398314
  3     3           0.00147659           0.00967922           0.00391313
  4    -4           0.00001214           0.00089772           0.00015776
  4    -3           0.00007239           0.00015138           0.00015723
  4    -2           0.00004803           0.00146541           0.00015502
  4    -1           0.00005094           0.00045275           0.00015636
  4     0          -0.00004034           0.00051990           0.00016195
  4     1           0.00005094           0.00045303           0.00015636
  4     2           0.00004803           0.00094859           0.00015502
  4     3           0.00007239           0.00041477           0.00015723
  4     4           0.00001214           0.00057179           0.00015776
