Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.73714512
Total DOS in Cell and MT Volumes =    6.85806459   6.04241515
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.24351790           0.83379782           0.68124679
  1    -1           0.04344202           0.64468602           0.44849166
  1     0           0.04344203           0.64515667           0.44849167
  1     1           0.04344202           0.64562734           0.44849166
  2    -2           2.93389587           0.80141626           0.79202742
  2    -1           2.93594098           0.83621537           0.82901394
  2     0           2.93185076           0.76587776           0.75504090
  2     1           2.93594098           0.83649940           0.82901394
  2     2           2.93389586           0.80081889           0.79202742
  3    -3           0.00125723           0.00437283           0.00162532
  3    -2           0.00197730           0.00784116           0.00368733
  3    -1           0.00151183           0.00379497           0.00149401
  3     0           0.00087535           0.00644604           0.00182229
  3     1           0.00151184           0.00385464           0.00149401
  3     2           0.00197730           0.00783735           0.00368733
  3     3           0.00125725           0.00537382           0.00162532
  4    -4           0.00000570           0.00167329           0.00045475
  4    -3           0.00006091           0.00012927           0.00019751
  4    -2           0.00003896           0.00022895           0.00018090
  4    -1           0.00004124           0.00201886           0.00066996
  4     0          -0.00004267           0.00097367           0.00012791
  4     1           0.00004124           0.00201913           0.00066996
  4     2           0.00003896          -0.00032051           0.00018090
  4     3           0.00006091           0.00041358           0.00019751
  4     4           0.00000570           0.00131199           0.00045475
