Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.70540057
Total DOS in Cell and MT Volumes =    4.70261596   3.99844815
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.20104042           0.87970653           0.72140921
  1    -1           0.05399589           0.52791377           0.36793727
  1     0           0.05399590           0.52834452           0.36793727
  1     1           0.05399589           0.52877529           0.36793727
  2    -2           2.95708023           0.43718709           0.42991912
  2    -1           2.95887944           0.43431031           0.42964102
  2     0           2.95528102           0.43918890           0.43019722
  2     1           2.95887944           0.43466650           0.42964102
  2     2           2.95708023           0.43649022           0.42991912
  3    -3           0.00117860           0.00717155           0.00324305
  3    -2           0.00178346           0.00651529           0.00329624
  3    -1           0.00139114           0.00683857           0.00326190
  3     0           0.00085979           0.00877220           0.00321479
  3     1           0.00139115           0.00688721           0.00326190
  3     2           0.00178346           0.00651224           0.00329624
  3     3           0.00117861           0.00808171           0.00324305
  4    -4           0.00000852           0.00087771           0.00012241
  4    -3           0.00005278          -0.00003593           0.00012105
  4    -2           0.00003500           0.00165576           0.00011823
  4    -1           0.00003712           0.00033971           0.00012058
  4     0          -0.00003030           0.00031046           0.00012794
  4     1           0.00003712           0.00033995           0.00012058
  4     2           0.00003500           0.00100121           0.00011823
  4     3           0.00005278           0.00032049           0.00012105
  4     4           0.00000852           0.00044471           0.00012241
