Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.54778425
Total DOS in Cell and MT Volumes =    7.03178285   5.77989530
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.00793036           1.08370015           0.90343790
  1    -1           0.09806056           1.13371742           0.80619541
  1     0           0.09806056           1.13418181           0.80619541
  1     1           0.09806056           1.13464619           0.80619541
  2    -2           3.00762903           0.50111012           0.49176452
  2    -1           3.00912393           0.44236018           0.43656302
  2     0           3.00613413           0.55883813           0.54696602
  2     1           3.00912393           0.44279209           0.43656302
  2     2           3.00762903           0.50030414           0.49176452
  3    -3           0.00071175           0.01566284           0.00925159
  3    -2           0.00110319           0.00906429           0.00407842
  3    -1           0.00084907           0.00998228           0.00572823
  3     0           0.00050576           0.02536056           0.01453663
  3     1           0.00084907           0.01001413           0.00572823
  3     2           0.00110319           0.00906213           0.00407842
  3     3           0.00071175           0.01662346           0.00925159
  4    -4           0.00000368           0.00089942           0.00023831
  4    -3           0.00002853          -0.00013664           0.00012769
  4    -2           0.00001854           0.00083738          -0.00002818
  4    -1           0.00001975           0.00144027           0.00047377
  4     0          -0.00001814          -0.00090873          -0.00002621
  4     1           0.00001975           0.00144046           0.00047377
  4     2           0.00001854           0.00007407          -0.00002818
  4     3           0.00002853           0.00029547           0.00012769
  4     4           0.00000368           0.00042121           0.00023831
