Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.81642742
Total DOS in Cell and MT Volumes =   12.96665305  11.19970196
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.31322969           1.11076947           0.90415608
  1    -1           0.02636796           1.51166560           1.05002194
  1     0           0.02636796           1.51166560           1.05002194
  1     1           0.02636796           1.51166560           1.05002194
  2    -2           2.91486539           1.44783554           1.42856412
  2    -1           2.91486539           1.39405275           1.37549238
  2     0           2.91486539           1.50161834           1.48163586
  2     1           2.91486539           1.39405275           1.37549238
  2     2           2.91486539           1.44783554           1.42856412
  3    -3           0.00215964           0.01201936           0.00523319
  3    -2           0.00215964           0.02503389           0.01090179
  3    -1           0.00215964           0.00946200           0.00411941
  3     0           0.00215964           0.01585541           0.00690385
  3     1           0.00215964           0.00946200           0.00411941
  3     2           0.00215964           0.02503389           0.01090179
  3     3           0.00215964           0.01201936           0.00523319
  4    -4           0.00006859           0.00407498           0.00127417
  4    -3           0.00006859           0.00101978           0.00031868
  4    -2           0.00006859           0.00241710           0.00075564
  4    -1           0.00006859           0.00464050           0.00145103
  4     0           0.00006859           0.00230126           0.00071950
  4     1           0.00006859           0.00464050           0.00145103
  4     2           0.00006859           0.00241710           0.00075564
  4     3           0.00006859           0.00101978           0.00031868
  4     4           0.00006859           0.00407498           0.00127417
