Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.74015049
Total DOS in Cell and MT Volumes =    5.04983486   4.34558338
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.25656452           0.85379837           0.70049680
  1    -1           0.03814046           0.52506247           0.36563863
  1     0           0.03814046           0.52506247           0.36563863
  1     1           0.03814046           0.52506247           0.36563863
  2    -2           2.93325897           0.51116528           0.50412430
  2    -1           2.93325897           0.51116528           0.50412430
  2     0           2.93325897           0.51116528           0.50412430
  2     1           2.93325897           0.51116528           0.50412430
  2     2           2.93325897           0.51116528           0.50412430
  3    -3           0.00164541           0.00868264           0.00374699
  3    -2           0.00164541           0.00868264           0.00374699
  3    -1           0.00164541           0.00868264           0.00374699
  3     0           0.00164541           0.00868264           0.00374699
  3     1           0.00164541           0.00868264           0.00374699
  3     2           0.00164541           0.00868264           0.00374699
  3     3           0.00164541           0.00868264           0.00374699
  4    -4           0.00004743           0.00047157           0.00014669
  4    -3           0.00004743           0.00047157           0.00014669
  4    -2           0.00004743           0.00047157           0.00014669
  4    -1           0.00004743           0.00047157           0.00014669
  4     0           0.00004743           0.00047157           0.00014669
  4     1           0.00004743           0.00047157           0.00014669
  4     2           0.00004743           0.00047157           0.00014669
  4     3           0.00004743           0.00047157           0.00014669
  4     4           0.00004743           0.00047157           0.00014669
