Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.74015049
Total DOS in Cell and MT Volumes =   12.30463234  10.74985189
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.25656452           1.65545896           1.35814082
  1    -1           0.03814046           1.20206533           0.83707104
  1     0           0.03814046           1.20206533           0.83707104
  1     1           0.03814046           1.20206533           0.83707104
  2    -2           2.93325897           1.38018147           1.36130364
  2    -1           2.93325897           1.40757490           1.38831791
  2     0           2.93325897           1.35278803           1.33428937
  2     1           2.93325897           1.40757490           1.38831791
  2     2           2.93325897           1.38018147           1.36130364
  3    -3           0.00164541           0.01578720           0.00681082
  3    -2           0.00164541           0.00858000           0.00370144
  3    -1           0.00164541           0.01131826           0.00488243
  3     0           0.00164541           0.02249061           0.00970340
  3     1           0.00164541           0.01131826           0.00488243
  3     2           0.00164541           0.00858000           0.00370144
  3     3           0.00164541           0.01578720           0.00681082
  4    -4           0.00004743           0.00316841           0.00098536
  4    -3           0.00004743           0.00079110           0.00024583
  4    -2           0.00004743           0.00203197           0.00063177
  4    -1           0.00004743           0.00344145           0.00107031
  4     0           0.00004743           0.00194926           0.00060614
  4     1           0.00004743           0.00344145           0.00107031
  4     2           0.00004743           0.00203197           0.00063177
  4     3           0.00004743           0.00079110           0.00024583
  4     4           0.00004743           0.00316841           0.00098536
