Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.70447576
Total DOS in Cell and MT Volumes =   10.23922048   8.79721783
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.22680420           1.42321003           1.17225511
  1    -1           0.04412241           1.14991813           0.80170430
  1     0           0.04412241           1.14991813           0.80170430
  1     1           0.04412241           1.14991813           0.80170430
  2    -2           2.94266228           1.04900301           1.03423448
  2    -1           2.94266228           1.04638062           1.03165045
  2     0           2.94266228           1.05162540           1.03681851
  2     1           2.94266228           1.04638062           1.03165045
  2     2           2.94266228           1.04900301           1.03423448
  3    -3           0.00144283           0.01949601           0.00836309
  3    -2           0.00144283           0.00700927           0.00300564
  3    -1           0.00144283           0.01304489           0.00559519
  3     0           0.00144283           0.02917269           0.01251495
  3     1           0.00144283           0.01304489           0.00559519
  3     2           0.00144283           0.00700927           0.00300564
  3     3           0.00144283           0.01949601           0.00836309
  4    -4           0.00003970           0.00236726           0.00073178
  4    -3           0.00003970           0.00067454           0.00020833
  4    -2           0.00003970           0.00129032           0.00039868
  4    -1           0.00003970           0.00285967           0.00088407
  4     0           0.00003970           0.00120681           0.00037295
  4     1           0.00003970           0.00285967           0.00088407
  4     2           0.00003970           0.00129032           0.00039868
  4     3           0.00003970           0.00067454           0.00020833
  4     4           0.00003970           0.00236726           0.00073178
