Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.60826994
Total DOS in Cell and MT Volumes =    5.48731129   4.70036797
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.13721064           1.04630051           0.87140316
  1    -1           0.05973280           0.59606237           0.41668789
  1     0           0.05973280           0.59606237           0.41668789
  1     1           0.05973280           0.59606237           0.41668789
  2    -2           2.97029821           0.51933575           0.51111754
  2    -1           2.97029821           0.51933575           0.51111754
  2     0           2.97029821           0.51933575           0.51111754
  2     1           2.97029821           0.51933575           0.51111754
  2     2           2.97029821           0.51933575           0.51111754
  3    -3           0.00098106           0.00753083           0.00318112
  3    -2           0.00098106           0.00753083           0.00318112
  3    -1           0.00098106           0.00753083           0.00318112
  3     0           0.00098106           0.00753083           0.00318112
  3     1           0.00098106           0.00753083           0.00318112
  3     2           0.00098106           0.00753083           0.00318112
  3     3           0.00098106           0.00753083           0.00318112
  4    -4           0.00002359           0.00038101           0.00011618
  4    -3           0.00002359           0.00038101           0.00011618
  4    -2           0.00002359           0.00038101           0.00011618
  4    -1           0.00002359           0.00038101           0.00011618
  4     0           0.00002359           0.00038101           0.00011618
  4     1           0.00002359           0.00038101           0.00011618
  4     2           0.00002359           0.00038101           0.00011618
  4     3           0.00002359           0.00038101           0.00011618
  4     4           0.00002359           0.00038101           0.00011618
