Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.60826994
Total DOS in Cell and MT Volumes =    5.37987566   4.69823431
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.13721064           0.73373347           0.61107201
  1    -1           0.05973280           0.54065594           0.37794767
  1     0           0.05973280           0.54065594           0.37794767
  1     1           0.05973280           0.54065594           0.37794767
  2    -2           2.97029821           0.59344510           0.58423391
  2    -1           2.97029821           0.60981476           0.60034094
  2     0           2.97029821           0.57707544           0.56812689
  2     1           2.97029821           0.60981476           0.60034094
  2     2           2.97029821           0.59344510           0.58423391
  3    -3           0.00098106           0.00388814           0.00164104
  3    -2           0.00098106           0.00615764           0.00259904
  3    -1           0.00098106           0.00306607           0.00129362
  3     0           0.00098106           0.00512125           0.00216217
  3     1           0.00098106           0.00306607           0.00129362
  3     2           0.00098106           0.00615764           0.00259904
  3     3           0.00098106           0.00388814           0.00164104
  4    -4           0.00002359           0.00135093           0.00041165
  4    -3           0.00002359           0.00048719           0.00014827
  4    -2           0.00002359           0.00078639           0.00023944
  4    -1           0.00002359           0.00163563           0.00049848
  4     0           0.00002359           0.00071395           0.00021746
  4     1           0.00002359           0.00163563           0.00049848
  4     2           0.00002359           0.00078639           0.00023944
  4     3           0.00002359           0.00048719           0.00014827
  4     4           0.00002359           0.00135093           0.00041165
