Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.67674653
Total DOS in Cell and MT Volumes =    4.95238459   4.28611620
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.18775246           0.68705698           0.56615266
  1    -1           0.05265426           0.52273833           0.36407236
  1     0           0.05265426           0.52273833           0.36407236
  1     1           0.05265426           0.52273833           0.36407236
  2    -2           2.96483291           0.52959061           0.52036994
  2    -1           2.96483291           0.54030370           0.53089138
  2     0           2.96483291           0.51887753           0.50984850
  2     1           2.96483291           0.54030370           0.53089138
  2     2           2.96483291           0.52959061           0.52036994
  3    -3           0.00131002           0.00347644           0.00148790
  3    -2           0.00131002           0.00616438           0.00263888
  3    -1           0.00131002           0.00283533           0.00121315
  3     0           0.00131002           0.00443809           0.00190003
  3     1           0.00131002           0.00283533           0.00121315
  3     2           0.00131002           0.00616438           0.00263888
  3     3           0.00131002           0.00347644           0.00148790
  4    -4           0.00003442           0.00134181           0.00041428
  4    -3           0.00003442           0.00045346           0.00013984
  4    -2           0.00003442           0.00075140           0.00023183
  4    -1           0.00003442           0.00163110           0.00050366
  4     0           0.00003442           0.00070052           0.00021620
  4     1           0.00003442           0.00163110           0.00050366
  4     2           0.00003442           0.00075140           0.00023183
  4     3           0.00003442           0.00045346           0.00013984
  4     4           0.00003442           0.00134181           0.00041428
