Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64301237
Total DOS in Cell and MT Volumes =    4.89957536   4.15396924
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.15574567           0.97152617           0.80370186
  1    -1           0.05829497           0.55704912           0.38821973
  1     0           0.05829497           0.55704912           0.38821973
  1     1           0.05829497           0.55704912           0.38821973
  2    -2           2.97430179           0.44076840           0.43269749
  2    -1           2.97430179           0.44076840           0.43269749
  2     0           2.97430179           0.44076840           0.43269749
  2     1           2.97430179           0.44076840           0.43269749
  2     2           2.97430179           0.44076840           0.43269749
  3    -3           0.00114634           0.00712155           0.00302054
  3    -2           0.00114634           0.00712155           0.00302054
  3    -1           0.00114634           0.00712155           0.00302054
  3     0           0.00114634           0.00712155           0.00302054
  3     1           0.00114634           0.00712155           0.00302054
  3     2           0.00114634           0.00712155           0.00302054
  3     3           0.00114634           0.00712155           0.00302054
  4    -4           0.00002874           0.00035655           0.00010854
  4    -3           0.00002874           0.00035655           0.00010854
  4    -2           0.00002874           0.00035655           0.00010854
  4    -1           0.00002874           0.00035655           0.00010854
  4     0           0.00002874           0.00035655           0.00010854
  4     1           0.00002874           0.00035655           0.00010854
  4     2           0.00002874           0.00035655           0.00010854
  4     3           0.00002874           0.00035655           0.00010854
  4     4           0.00002874           0.00035655           0.00010854
