Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65191914
Total DOS in Cell and MT Volumes =    4.70212430   3.97389920
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.13089283           0.93628645           0.77135185
  1    -1           0.07617725           0.55215387           0.38548662
  1     0           0.07617729           0.55258211           0.38548664
  1     1           0.07617725           0.55301044           0.38548662
  2    -2           2.97698632           0.41251195           0.40506183
  2    -1           2.97861287           0.40956764           0.40472675
  2     0           2.97535978           0.41455284           0.40539694
  2     1           2.97861287           0.40993817           0.40472675
  2     2           2.97698632           0.41179379           0.40506183
  3    -3           0.00111995           0.00630400           0.00287148
  3    -2           0.00161443           0.00578779           0.00291511
  3    -1           0.00128739           0.00606063           0.00288624
  3     0           0.00086881           0.00775920           0.00284934
  3     1           0.00128739           0.00609980           0.00288624
  3     2           0.00161443           0.00578440           0.00291511
  3     3           0.00111996           0.00719975           0.00287148
  4    -4           0.00001325           0.00081162           0.00010325
  4    -3           0.00004766          -0.00010084           0.00010141
  4    -2           0.00003269           0.00164357           0.00009886
  4    -1           0.00003652           0.00028169           0.00010118
  4     0          -0.00001777           0.00019920           0.00010899
  4     1           0.00003652           0.00028189           0.00010118
  4     2           0.00003269           0.00096775           0.00009886
  4     3           0.00004766           0.00026988           0.00010141
  4     4           0.00001325           0.00037670           0.00010325
