Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63297812
Total DOS in Cell and MT Volumes =    4.82138580   4.10057958
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.12282513           0.94690867           0.77860102
  1    -1           0.07546285           0.54040986           0.37553221
  1     0           0.07546285           0.54040986           0.37553221
  1     1           0.07546285           0.54040986           0.37553221
  2    -2           2.97663212           0.44153660           0.43524795
  2    -1           2.97663212           0.44153660           0.43524795
  2     0           2.97663212           0.44153660           0.43524795
  2     1           2.97663212           0.44153660           0.43524795
  2     2           2.97663212           0.44153660           0.43524795
  3    -3           0.00127552           0.00613570           0.00261976
  3    -2           0.00127552           0.00613570           0.00261976
  3    -1           0.00127552           0.00613570           0.00261976
  3     0           0.00127552           0.00613570           0.00261976
  3     1           0.00127552           0.00613570           0.00261976
  3     2           0.00127552           0.00613570           0.00261976
  3     3           0.00127552           0.00613570           0.00261976
  4    -4           0.00003437           0.00029052           0.00008932
  4    -3           0.00003437           0.00029052           0.00008932
  4    -2           0.00003437           0.00029052           0.00008932
  4    -1           0.00003437           0.00029052           0.00008932
  4     0           0.00003437           0.00029052           0.00008932
  4     1           0.00003437           0.00029052           0.00008932
  4     2           0.00003437           0.00029052           0.00008932
  4     3           0.00003437           0.00029052           0.00008932
  4     4           0.00003437           0.00029052           0.00008932
