Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63297812
Total DOS in Cell and MT Volumes =    8.48706200   7.63151332
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.12282513           1.32668791           1.09061904
  1    -1           0.07546285           0.57363291           0.39847481
  1     0           0.07546285           0.57363291           0.39847481
  1     1           0.07546285           0.57363291           0.39847481
  2    -2           2.97663212           1.07106710           1.05626303
  2    -1           2.97663212           1.12414500           1.10859057
  2     0           2.97663212           1.01798921           1.00393549
  2     1           2.97663212           1.12414500           1.10859057
  2     2           2.97663212           1.07106710           1.05626303
  3    -3           0.00127552           0.00249583           0.00106397
  3    -2           0.00127552           0.00332336           0.00141643
  3    -1           0.00127552           0.00262403           0.00111864
  3     0           0.00127552           0.00230354           0.00098196
  3     1           0.00127552           0.00262403           0.00111864
  3     2           0.00127552           0.00332336           0.00141643
  3     3           0.00127552           0.00249583           0.00106397
  4    -4           0.00003437           0.00175645           0.00053968
  4    -3           0.00003437           0.00024635           0.00007548
  4    -2           0.00003437           0.00211826           0.00065085
  4    -1           0.00003437           0.00077980           0.00023946
  4     0           0.00003437           0.00207023           0.00063618
  4     1           0.00003437           0.00077980           0.00023946
  4     2           0.00003437           0.00211826           0.00065085
  4     3           0.00003437           0.00024635           0.00007548
  4     4           0.00003437           0.00175645           0.00053968
