Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.55879342
Total DOS in Cell and MT Volumes =    4.21995483   3.65396985
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.02584294           0.61584970           0.51209660
  1    -1           0.10080491           0.47685450           0.33758919
  1     0           0.10080496           0.47735030           0.33758921
  1     1           0.10080491           0.47784621           0.33758919
  2    -2           2.99287337           0.42512527           0.41943010
  2    -1           2.99446198           0.43661186           0.43247081
  2     0           2.99128477           0.41277111           0.40638942
  2     1           2.99446198           0.43695359           0.43247081
  2     2           2.99287337           0.42442855           0.41943010
  3    -3           0.00083788           0.00460298           0.00288847
  3    -2           0.00124764           0.00382041           0.00175844
  3    -1           0.00097584           0.00344037           0.00195333
  3     0           0.00063094           0.00760304           0.00429118
  3     1           0.00097584           0.00347375           0.00195333
  3     2           0.00124764           0.00381707           0.00175844
  3     3           0.00083788           0.00562807           0.00288847
  4    -4           0.00000840           0.00084710           0.00019849
  4    -3           0.00003483          -0.00005476           0.00011415
  4    -2           0.00002380           0.00042076           0.00005074
  4    -1           0.00002546           0.00102103           0.00033651
  4     0          -0.00001443           0.00003869           0.00002301
  4     1           0.00002546           0.00102122           0.00033651
  4     2           0.00002380          -0.00022225           0.00005074
  4     3           0.00003483           0.00028716           0.00011415
  4     4           0.00000840           0.00041914           0.00019849
