Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.46611703
Total DOS in Cell and MT Volumes =    5.42292544   4.57090550
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.11250696           1.26056480           1.06205426
  1    -1           0.12382563           0.67227955           0.47286259
  1     0           0.12382563           0.67280213           0.47286259
  1     1           0.12382563           0.67332470           0.47286259
  2    -2           3.02473199           0.42288585           0.41535105
  2    -1           3.02609630           0.41936395           0.41438621
  2     0           3.02336768           0.42546038           0.41631588
  2     1           3.02609630           0.41974943           0.41438621
  2     2           3.02473199           0.42213123           0.41535105
  3    -3           0.00058741           0.00402950           0.00198206
  3    -2           0.00088527           0.00405770           0.00200720
  3    -1           0.00068726           0.00414506           0.00199016
  3     0           0.00043763           0.00517455           0.00196991
  3     1           0.00068727           0.00416894           0.00199016
  3     2           0.00088527           0.00405506           0.00200720
  3     3           0.00058741           0.00509853           0.00198206
  4    -4           0.00000513           0.00068809           0.00006190
  4    -3           0.00002249          -0.00022496           0.00005952
  4    -2           0.00001522           0.00158049           0.00005722
  4    -1           0.00001633           0.00015668           0.00005952
  4     0          -0.00000984           0.00001028           0.00006803
  4     1           0.00001633           0.00015685           0.00005952
  4     2           0.00001522           0.00087784           0.00005722
  4     3           0.00002249           0.00016069           0.00005952
  4     4           0.00000513           0.00022814           0.00006190
