Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.79270989
Total DOS in Cell and MT Volumes =    4.50848515   3.84495385
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.28072702           0.78534325           0.63873383
  1    -1           0.03426588           0.49026550           0.34072538
  1     0           0.03426588           0.49066691           0.34072538
  1     1           0.03426588           0.49106831           0.34072538
  2    -2           2.93347862           0.43847367           0.43149250
  2    -1           2.93533854           0.43534974           0.43095612
  2     0           2.93161870           0.44082174           0.43202887
  2     1           2.93533854           0.43565807           0.43095612
  2     2           2.93347862           0.43785198           0.43149250
  3    -3           0.00162832           0.00819433           0.00366945
  3    -2           0.00231878           0.00732495           0.00373135
  3    -1           0.00186286           0.00771895           0.00369068
  3     0           0.00127651           0.00993780           0.00363760
  3     1           0.00186287           0.00777272           0.00369068
  3     2           0.00231878           0.00732062           0.00373135
  3     3           0.00162833           0.00905091           0.00366945
  4    -4           0.00002209           0.00089498           0.00014495
  4    -3           0.00007544           0.00007081           0.00014391
  4    -2           0.00005325           0.00156497           0.00014158
  4    -1           0.00005656           0.00040983           0.00014332
  4     0          -0.00002408           0.00042818           0.00014970
  4     1           0.00005656           0.00041007           0.00014332
  4     2           0.00005325           0.00098328           0.00014158
  4     3           0.00007544           0.00037939           0.00014391
  4     4           0.00002209           0.00052418           0.00014495
