Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.57076758
Total DOS in Cell and MT Volumes =    9.08302229   7.65051528
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.03193035           1.46094114           1.21169877
  1    -1           0.09731854           1.23986696           0.87996670
  1     0           0.09731857           1.24031031           0.87996671
  1     1           0.09731854           1.24075373           0.87996670
  2    -2           3.00133291           0.76557423           0.75270558
  2    -1           3.00279804           0.74152901           0.73236629
  2     0           2.99986779           0.78865081           0.77304488
  2     1           3.00279804           0.74193085           0.73236629
  2     2           3.00133291           0.76480651           0.75270558
  3    -3           0.00085619           0.01508112           0.00946605
  3    -2           0.00124576           0.00825453           0.00377178
  3    -1           0.00098796           0.00991317           0.00602379
  3     0           0.00065854           0.02395685           0.01462946
  3     1           0.00098796           0.00994406           0.00602379
  3     2           0.00124576           0.00825176           0.00377178
  3     3           0.00085619           0.01599878           0.00946605
  4    -4           0.00000914           0.00138111           0.00036740
  4    -3           0.00003410          -0.00003875           0.00021943
  4    -2           0.00002369           0.00086434           0.00000635
  4    -1           0.00002530           0.00213437           0.00070496
  4     0          -0.00001251          -0.00066374          -0.00002120
  4     1           0.00002530           0.00213455           0.00070496
  4     2           0.00002369           0.00014064           0.00000635
  4     3           0.00003410           0.00036327           0.00021943
  4     4           0.00000914           0.00094267           0.00036740
