Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.49232949
Total DOS in Cell and MT Volumes =    5.35984595   4.52694004
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.06666657           1.20057338           1.00827385
  1    -1           0.11681888           0.64955287           0.45567403
  1     0           0.11681888           0.64955287           0.45567403
  1     1           0.11681888           0.64955287           0.45567403
  2    -2           3.01668822           0.43469750           0.42725776
  2    -1           3.01668822           0.43469750           0.42725776
  2     0           3.01668822           0.43469750           0.42725776
  2     1           3.01668822           0.43469750           0.42725776
  2     2           3.01668822           0.43469750           0.42725776
  3    -3           0.00083417           0.00502809           0.00210997
  3    -2           0.00083417           0.00502809           0.00210997
  3    -1           0.00083417           0.00502809           0.00210997
  3     0           0.00083417           0.00502809           0.00210997
  3     1           0.00083417           0.00502809           0.00210997
  3     2           0.00083417           0.00502809           0.00210997
  3     3           0.00083417           0.00502809           0.00210997
  4    -4           0.00002045           0.00021443           0.00006506
  4    -3           0.00002045           0.00021443           0.00006506
  4    -2           0.00002045           0.00021443           0.00006506
  4    -1           0.00002045           0.00021443           0.00006506
  4     0           0.00002045           0.00021443           0.00006506
  4     1           0.00002045           0.00021443           0.00006506
  4     2           0.00002045           0.00021443           0.00006506
  4     3           0.00002045           0.00021443           0.00006506
  4     4           0.00002045           0.00021443           0.00006506
