Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.46333213
Total DOS in Cell and MT Volumes =    4.28324293   3.72108262
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.11264528           0.64670569           0.54513005
  1    -1           0.12336511           0.45029143           0.31618925
  1     0           0.12336511           0.45029143           0.31618925
  1     1           0.12336511           0.45029143           0.31618925
  2    -2           3.02653744           0.44588732           0.43808754
  2    -1           3.02653744           0.47116682           0.46290640
  2     0           3.02653744           0.42060782           0.41326868
  2     1           3.02653744           0.47116682           0.46290640
  2     2           3.02653744           0.44588732           0.43808754
  3    -3           0.00074120           0.00270908           0.00113107
  3    -2           0.00074120           0.00540328           0.00225667
  3    -1           0.00074120           0.00214777           0.00089637
  3     0           0.00074120           0.00355103           0.00148311
  3     1           0.00074120           0.00214777           0.00089637
  3     2           0.00074120           0.00540328           0.00225667
  3     3           0.00074120           0.00270908           0.00113107
  4    -4           0.00001759           0.00097193           0.00029367
  4    -3           0.00001759           0.00041165           0.00012423
  4    -2           0.00001759           0.00061900           0.00018689
  4    -1           0.00001759           0.00118694           0.00035869
  4     0           0.00001759           0.00049656           0.00014996
  4     1           0.00001759           0.00118694           0.00035869
  4     2           0.00001759           0.00061900           0.00018689
  4     3           0.00001759           0.00041165           0.00012423
  4     4           0.00001759           0.00097193           0.00029367
