Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.73703498
Total DOS in Cell and MT Volumes =    4.56639699   3.88036157
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.22787556           0.83433521           0.68212511
  1    -1           0.05055714           0.50851554           0.35334168
  1     0           0.05055714           0.50851554           0.35334168
  1     1           0.05055714           0.50851554           0.35334168
  2    -2           2.95151131           0.42983362           0.42277028
  2    -1           2.95151131           0.42983362           0.42277028
  2     0           2.95151131           0.42983362           0.42277028
  2     1           2.95151131           0.42983362           0.42277028
  2     2           2.95151131           0.42983362           0.42277028
  3    -3           0.00175280           0.00767967           0.00332067
  3    -2           0.00175280           0.00767967           0.00332067
  3    -1           0.00175280           0.00767967           0.00332067
  3     0           0.00175280           0.00767967           0.00332067
  3     1           0.00175280           0.00767967           0.00332067
  3     2           0.00175280           0.00767967           0.00332067
  3     3           0.00175280           0.00767967           0.00332067
  4    -4           0.00005164           0.00039882           0.00012393
  4    -3           0.00005164           0.00039882           0.00012393
  4    -2           0.00005164           0.00039882           0.00012393
  4    -1           0.00005164           0.00039882           0.00012393
  4     0           0.00005164           0.00039882           0.00012393
  4     1           0.00005164           0.00039882           0.00012393
  4     2           0.00005164           0.00039882           0.00012393
  4     3           0.00005164           0.00039882           0.00012393
  4     4           0.00005164           0.00039882           0.00012393
