Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.60412414
Total DOS in Cell and MT Volumes =    2.94245911   2.54589258
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.07842832           0.42960426           0.35553614
  1    -1           0.08776552           0.30980184           0.21610556
  1     0           0.08776552           0.30980184           0.21610556
  1     1           0.08776552           0.30980184           0.21610556
  2    -2           2.99173366           0.31015240           0.30461647
  2    -1           2.99173366           0.32035495           0.31462645
  2     0           2.99173366           0.29994985           0.29460648
  2     1           2.99173366           0.32035495           0.31462645
  2     2           2.99173366           0.31015240           0.30461647
  3    -3           0.00119537           0.00209335           0.00089030
  3    -2           0.00119537           0.00351600           0.00149581
  3    -1           0.00119537           0.00169790           0.00072180
  3     0           0.00119537           0.00268653           0.00114305
  3     1           0.00119537           0.00169790           0.00072180
  3     2           0.00119537           0.00351600           0.00149581
  3     3           0.00119537           0.00209335           0.00089030
  4    -4           0.00003169           0.00075948           0.00023282
  4    -3           0.00003169           0.00026490           0.00008106
  4    -2           0.00003169           0.00045935           0.00014067
  4    -1           0.00003169           0.00090599           0.00027779
  4     0           0.00003169           0.00040431           0.00012387
  4     1           0.00003169           0.00090599           0.00027779
  4     2           0.00003169           0.00045935           0.00014067
  4     3           0.00003169           0.00026490           0.00008106
  4     4           0.00003169           0.00075948           0.00023282
