Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65649051
Total DOS in Cell and MT Volumes =    3.82946372   3.31283708
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.13120484           0.53045886           0.43826495
  1    -1           0.07849433           0.40185199           0.28066311
  1     0           0.07849433           0.40185199           0.28066311
  1     1           0.07849433           0.40185199           0.28066311
  2    -2           2.98050226           0.41671716           0.40818062
  2    -1           2.98050226           0.39392113           0.38585158
  2     0           2.98050226           0.43951318           0.43050967
  2     1           2.98050226           0.39392113           0.38585158
  2     2           2.98050226           0.41671716           0.40818062
  3    -3           0.00144579           0.00479608           0.00205722
  3    -2           0.00144579           0.00466095           0.00199926
  3    -1           0.00144579           0.00350966           0.00150542
  3     0           0.00144579           0.00672573           0.00288492
  3     1           0.00144579           0.00350966           0.00150542
  3     2           0.00144579           0.00466095           0.00199926
  3     3           0.00144579           0.00479608           0.00205722
