Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65501883
Total DOS in Cell and MT Volumes =    4.64656361   3.91579212
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.13171754           0.93440486           0.77032413
  1    -1           0.07662392           0.55421179           0.38720393
  1     0           0.07662397           0.55464171           0.38720395
  1     1           0.07662392           0.55507172           0.38720393
  2    -2           2.97895633           0.40036153           0.39252423
  2    -1           2.98062084           0.39745899           0.39231735
  2     0           2.97729183           0.40231450           0.39273114
  2     1           2.98062084           0.39785303           0.39231735
  2     2           2.97895633           0.39960897           0.39252423
  3    -3           0.00113677           0.00640564           0.00291555
  3    -2           0.00164039           0.00587473           0.00296020
  3    -1           0.00130748           0.00615306           0.00293069
  3     0           0.00088071           0.00787930           0.00289284
  3     1           0.00130749           0.00619318           0.00293069
  3     2           0.00164039           0.00587130           0.00296020
  3     3           0.00113678           0.00730569           0.00291555
  4    -4           0.00001346           0.00087544           0.00010523
  4    -3           0.00004850          -0.00011904           0.00010345
  4    -2           0.00003391           0.00171691           0.00010067
  4    -1           0.00003613           0.00028607           0.00010321
  4     0          -0.00001692           0.00024153           0.00011105
  4     1           0.00003613           0.00028628           0.00010321
  4     2           0.00003391           0.00100731           0.00010067
  4     3           0.00004850           0.00027521           0.00010345
  4     4           0.00001346           0.00038391           0.00010523
