Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64820375
Total DOS in Cell and MT Volumes =    4.64144763   3.91070413
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.12823408           0.93700719           0.77291056
  1    -1           0.07727392           0.55018207           0.38358526
  1     0           0.07727392           0.55018207           0.38358526
  1     1           0.07727392           0.55018207           0.38358526
  2    -2           2.98146408           0.40095351           0.39326950
  2    -1           2.98146408           0.40095351           0.39326950
  2     0           2.98146408           0.40095351           0.39326950
  2     1           2.98146408           0.40095351           0.39326950
  2     2           2.98146408           0.40095351           0.39326950
  3    -3           0.00138021           0.00660605           0.00282875
  3    -2           0.00138021           0.00660605           0.00282875
  3    -1           0.00138021           0.00660605           0.00282875
  3     0           0.00138021           0.00660605           0.00282875
  3     1           0.00138021           0.00660605           0.00282875
  3     2           0.00138021           0.00660605           0.00282875
  3     3           0.00138021           0.00660605           0.00282875
  4    -4           0.00003808           0.00032048           0.00009878
  4    -3           0.00003808           0.00032048           0.00009878
  4    -2           0.00003808           0.00032048           0.00009878
  4    -1           0.00003808           0.00032048           0.00009878
  4     0           0.00003808           0.00032048           0.00009878
  4     1           0.00003808           0.00032048           0.00009878
  4     2           0.00003808           0.00032048           0.00009878
  4     3           0.00003808           0.00032048           0.00009878
  4     4           0.00003808           0.00032048           0.00009878
