Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61895236
Total DOS in Cell and MT Volumes =    4.80824378   3.77566099
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.07117701           1.03986098           0.82709294
  1    -1           0.09573974           0.65428452           0.41762170
  1     0           0.09573974           0.65428452           0.41762170
  1     1           0.09573974           0.65428452           0.41762170
  2    -2           3.00159033           0.34957343           0.33511475
  2    -1           3.00159033           0.34957343           0.33511475
  2     0           3.00159033           0.34957343           0.33511475
  2     1           3.00159033           0.34957343           0.33511475
  2     2           3.00159033           0.34957343           0.33511475
  3    -3           0.00133110           0.00823745           0.00287560
  3    -2           0.00133110           0.00823745           0.00287560
  3    -1           0.00133110           0.00823745           0.00287560
  3     0           0.00133110           0.00823745           0.00287560
  3     1           0.00133110           0.00823745           0.00287560
  3     2           0.00133110           0.00823745           0.00287560
  3     3           0.00133110           0.00823745           0.00287560
