Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61895236
Total DOS in Cell and MT Volumes =    8.20230081   6.48963284
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.07117701           0.87161161           0.69326713
  1    -1           0.09573974           1.22177241           0.77969824
  1     0           0.09573974           1.22177241           0.77969824
  1     1           0.09573974           1.22177241           0.77969824
  2    -2           3.00159033           0.76657380           0.73509691
  2    -1           3.00159033           0.50482014           0.48398610
  2     0           3.00159033           1.02832746           0.98620772
  2     1           3.00159033           0.50482014           0.48398610
  2     2           3.00159033           0.76657380           0.73509691
  3    -3           0.00133110           0.01331356           0.00464671
  3    -2           0.00133110           0.01283017           0.00447793
  3    -1           0.00133110           0.01737059           0.00606233
  3     0           0.00133110           0.00722802           0.00252329
  3     1           0.00133110           0.01737059           0.00606233
  3     2           0.00133110           0.01283017           0.00447793
  3     3           0.00133110           0.01331356           0.00464671
