Atom: Zn, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61895236
Total DOS in Cell and MT Volumes =    5.72084592   3.95633259
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.16373319           0.72646781           0.61107446
  1    -1           0.19792636           1.34012040           0.89575571
  1     0           0.19792636           1.34012040           0.89575571
  1     1           0.19792636           1.34012040           0.89575571
  2    -2           3.09487984           0.18199736           0.12799033
  2    -1           3.09487984           0.16919987           0.11896191
  2     0           3.09487984           0.19479485           0.13701876
  2     1           3.09487984           0.16919987           0.11896191
  2     2           3.09487984           0.18199736           0.12799033
  3    -3           0.00152906           0.01049249           0.00369683
  3    -2           0.00152906           0.01118735           0.00394118
  3    -1           0.00152906           0.01447334           0.00509930
  3     0           0.00152906           0.00452121           0.00159314
  3     1           0.00152906           0.01447334           0.00509930
  3     2           0.00152906           0.01118735           0.00394118
  3     3           0.00152906           0.01049249           0.00369683
