Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63594454
Total DOS in Cell and MT Volumes =    5.11796986   4.11172411
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.16003363           1.03352114           0.81293943
  1    -1           0.05561187           0.61686712           0.38932196
  1     0           0.05561187           0.61686712           0.38932196
  1     1           0.05561187           0.61686712           0.38932196
  2    -2           2.97918223           0.43446491           0.42190405
  2    -1           2.97918223           0.43446491           0.42190405
  2     0           2.97918223           0.43446491           0.42190405
  2     1           2.97918223           0.43446491           0.42190405
  2     2           2.97918223           0.43446491           0.42190405
  3    -3           0.00111284           0.00878897           0.00304265
  3    -2           0.00111284           0.00878897           0.00304265
  3    -1           0.00111284           0.00878897           0.00304265
  3     0           0.00111284           0.00878897           0.00304265
  3     1           0.00111284           0.00878897           0.00304265
  3     2           0.00111284           0.00878897           0.00304265
  3     3           0.00111284           0.00878897           0.00304265
Atom: Zn, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63594454
Total DOS in Cell and MT Volumes =    4.12008338   2.93929920
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.17841905           0.97499903           0.82707042
  1    -1           0.22024849           0.82507637           0.55697913
  1     0           0.22024849           0.82507637           0.55697913
  1     1           0.22024849           0.82507637           0.55697913
  2    -2           3.09561915           0.12119552           0.08372041
  2    -1           3.09561915           0.12119552           0.08372041
  2     0           3.09561915           0.12119552           0.08372041
  2     1           3.09561915           0.12119552           0.08372041
  2     2           3.09561915           0.12119552           0.08372041
  3    -3           0.00178880           0.00912538           0.00324134
  3    -2           0.00178880           0.00912538           0.00324134
  3    -1           0.00178880           0.00912538           0.00324134
  3     0           0.00178880           0.00912538           0.00324134
  3     1           0.00178880           0.00912538           0.00324134
  3     2           0.00178880           0.00912538           0.00324134
  3     3           0.00178880           0.00912538           0.00324134
