Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.70451033
Total DOS in Cell and MT Volumes =   21.02502177  16.73278837
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.00462213           0.55806611           0.40397182
  1    -1          -0.44094877           1.51490575           0.94602412
  1     0          -0.44094877           1.51490575           0.94602412
  1     1          -0.44094877           1.51490575           0.94602412
  2    -2           0.91147816           2.65708412           2.33683167
  2    -1           0.91147816           4.08743889           3.59469594
  2     0           0.91147816           1.22672934           1.07896740
  2     1           0.91147816           4.08743889           3.59469594
  2     2           0.91147816           2.65708412           2.33683167
  3    -3           0.00830513           0.12181089           0.05863218
  3    -2           0.00830513           0.19641661           0.09453605
  3    -1           0.00830513           0.08594263           0.04136883
  3     0           0.00830513           0.17561328           0.08452719
  3     1           0.00830513           0.08594263           0.04136883
  3     2           0.00830513           0.19641661           0.09453605
  3     3           0.00830513           0.12181089           0.05863218
  4    -4           0.00041510           0.02046779           0.00691026
  4    -3           0.00041510           0.03241449           0.01094287
  4    -2           0.00041510           0.02514677           0.00848944
  4    -1           0.00041510           0.02189614           0.00739316
  4     0           0.00041510           0.02265911           0.00764882
  4     1           0.00041510           0.02189614           0.00739316
  4     2           0.00041510           0.02514677           0.00848944
  4     3           0.00041510           0.03241449           0.01094287
  4     4           0.00041510           0.02046779           0.00691026
