Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.70825547
Total DOS in Cell and MT Volumes =   17.48861483  14.88146070
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.99641572           0.77407001           0.56231301
  1    -1          -0.44092939           0.41861978           0.26307015
  1     0          -0.44092939           0.41949656           0.26307015
  1     1          -0.44092939           0.42037334           0.26307015
  2    -2           0.94225668           3.04223843           2.67043225
  2    -1           0.99980720           3.01504122           2.71705016
  2     0           0.88470615           3.07229409           2.62381434
  2     1           0.99980720           3.01504122           2.71705016
  2     2           0.94225668           3.04509687           2.67043225
  3    -3           0.00683035           0.03862568           0.01851806
  3    -2           0.01035537           0.03474416           0.01922318
  3    -1           0.00804878           0.03592762           0.01876087
  3     0           0.00500292           0.04509891           0.01815386
  3     1           0.00804917           0.03639603           0.01876087
  3     2           0.01035537           0.03470326           0.01922318
  3     3           0.00683074           0.04084765           0.01851806
