Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.70825547
Total DOS in Cell and MT Volumes =   14.86040870  11.79554062
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.99641572           0.32723535           0.23771582
  1    -1          -0.44092939           1.15162418           0.71912241
  1     0          -0.44092939           1.15250098           0.71912243
  1     1          -0.44092939           1.15337773           0.71912241
  2    -2           0.94225668           2.07009407           1.81559743
  2    -1           0.99980720           1.97136814           1.77652832
  2     0           0.88470615           2.17167851           1.85466659
  2     1           0.99980720           1.97136814           1.77652832
  2     2           0.94225668           2.07295251           1.81559743
  3    -3           0.00683035           0.09567303           0.03818458
  3    -2           0.01035537           0.17584176           0.08850478
  3    -1           0.00804878           0.06184261           0.02539853
  3     0           0.00500292           0.14884482           0.05736366
  3     1           0.00804917           0.06231102           0.02539853
  3     2           0.01035537           0.17580086           0.08850478
  3     3           0.00683074           0.09789500           0.03818458
