Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.71409974
Total DOS in Cell and MT Volumes =   17.37390346  14.76778621
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.01141159           0.76463901           0.55493076
  1    -1          -0.44617232           0.41634208           0.26044877
  1     0          -0.44617232           0.41634208           0.26044877
  1     1          -0.44617232           0.41634208           0.26044877
  2    -2           0.94726057           3.01161275           2.65789167
  2    -1           0.94726057           3.01161275           2.65789167
  2     0           0.94726057           3.01161275           2.65789167
  2     1           0.94726057           3.01161275           2.65789167
  2     2           0.94726057           3.01161275           2.65789167
  3    -3           0.00867174           0.03943940           0.01903149
  3    -2           0.00867174           0.03943940           0.01903149
  3    -1           0.00867174           0.03943940           0.01903149
  3     0           0.00867174           0.03943940           0.01903149
  3     1           0.00867174           0.03943940           0.01903149
  3     2           0.00867174           0.03943940           0.01903149
  3     3           0.00867174           0.03943940           0.01903149
  4    -4           0.00043878           0.00289985           0.00098116
  4    -3           0.00043878           0.00289985           0.00098116
  4    -2           0.00043878           0.00289985           0.00098116
  4    -1           0.00043878           0.00289985           0.00098116
  4     0           0.00043878           0.00289985           0.00098116
  4     1           0.00043878           0.00289985           0.00098116
  4     2           0.00043878           0.00289985           0.00098116
  4     3           0.00043878           0.00289985           0.00098116
  4     4           0.00043878           0.00289985           0.00098116
