Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.71409974
Total DOS in Cell and MT Volumes =   13.31731911  10.67348487
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.01141159           0.27828289           0.20196162
  1    -1          -0.44617232           0.97061266           0.60718069
  1     0          -0.44617232           0.97061266           0.60718069
  1     1          -0.44617232           0.97061266           0.60718069
  2    -2           0.94726057           1.87363023           1.65356790
  2    -1           0.94726057           1.96458854           1.73384294
  2     0           0.94726057           1.78267193           1.57329286
  2     1           0.94726057           1.96458854           1.73384294
  2     2           0.94726057           1.87363023           1.65356790
  3    -3           0.00867174           0.06996924           0.03376367
  3    -2           0.00867174           0.09352288           0.04512949
  3    -1           0.00867174           0.04776853           0.02305071
  3     0           0.00867174           0.10327030           0.04983310
  3     1           0.00867174           0.04776853           0.02305071
  3     2           0.00867174           0.09352288           0.04512949
  3     3           0.00867174           0.06996924           0.03376367
  4    -4           0.00043878           0.01870245           0.00632792
  4    -3           0.00043878           0.01286206           0.00435184
  4    -2           0.00043878           0.00915348           0.00309705
  4    -1           0.00043878           0.02271227           0.00768462
  4     0           0.00043878           0.01543667           0.00522295
  4     1           0.00043878           0.02271227           0.00768462
  4     2           0.00043878           0.00915348           0.00309705
  4     3           0.00043878           0.01286206           0.00435184
  4     4           0.00043878           0.01870245           0.00632792
