Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65668143
Total DOS in Cell and MT Volumes =   15.90973388  12.64760896
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.95572038           0.78279486           0.50451589
  1    -1          -0.40947196           0.40334113           0.21960858
  1     0          -0.40947196           0.40334113           0.21960858
  1     1          -0.40947196           0.40334113           0.21960858
  2    -2           0.78584102           2.73979811           2.27941316
  2    -1           0.78584102           2.73979811           2.27941316
  2     0           0.78584102           2.73979811           2.27941316
  2     1           0.78584102           2.73979811           2.27941316
  2     2           0.78584102           2.73979811           2.27941316
  3    -3           0.00686563           0.03113216           0.01245736
  3    -2           0.00686563           0.03113216           0.01245736
  3    -1           0.00686563           0.03113216           0.01245736
  3     0           0.00686563           0.03113216           0.01245736
  3     1           0.00686563           0.03113216           0.01245736
  3     2           0.00686563           0.03113216           0.01245736
  3     3           0.00686563           0.03113216           0.01245736
Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65668143
Total DOS in Cell and MT Volumes =   24.50069775  20.93620407
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.89344701           0.83610511           0.55534915
  1    -1          -0.34123485           0.45999716           0.25429709
  1     0          -0.34123485           0.45999716           0.25429709
  1     1          -0.34123485           0.45999716           0.25429709
  2    -2           1.12565438           4.41286245           3.90591639
  2    -1           1.12565438           4.41286245           3.90591639
  2     0           1.12565438           4.41286245           3.90591639
  2     1           1.12565438           4.41286245           3.90591639
  2     2           1.12565438           4.41286245           3.90591639
  3    -3           0.00742891           0.03146984           0.01262596
  3    -2           0.00742891           0.03146984           0.01262596
  3    -1           0.00742891           0.03146984           0.01262596
  3     0           0.00742891           0.03146984           0.01262596
  3     1           0.00742891           0.03146984           0.01262596
  3     2           0.00742891           0.03146984           0.01262596
  3     3           0.00742891           0.03146984           0.01262596
Atom: Ta, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65668143
Total DOS in Cell and MT Volumes =   22.64828593  19.09830909
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.87304065           0.83877750           0.55767374
  1    -1          -0.35154487           0.44706110           0.24464474
  1     0          -0.35154487           0.44706110           0.24464474
  1     1          -0.35154487           0.44706110           0.24464474
  2    -2           1.14910487           4.04991464           3.54394578
  2    -1           1.14910487           4.04991464           3.54394578
  2     0           1.14910487           4.04991464           3.54394578
  2     1           1.14910487           4.04991464           3.54394578
  2     2           1.14910487           4.04991464           3.54394578
  3    -3           0.00736837           0.03125028           0.01242460
  3    -2           0.00736837           0.03125028           0.01242460
  3    -1           0.00736837           0.03125028           0.01242460
  3     0           0.00736837           0.03125028           0.01242460
  3     1           0.00736837           0.03125028           0.01242460
  3     2           0.00736837           0.03125028           0.01242460
  3     3           0.00736837           0.03125028           0.01242460
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65668143
Total DOS in Cell and MT Volumes =   20.63267293  17.53464374
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.81037327           0.92868489           0.64795399
  1    -1          -0.23881249           0.56234614           0.32512452
  1     0          -0.23881249           0.56234614           0.32512452
  1     1          -0.23881249           0.56234614           0.32512452
  2    -2           0.60896498           3.56538502           3.16850847
  2    -1           0.60896498           3.56538502           3.16850847
  2     0           0.60896498           3.56538502           3.16850847
  2     1           0.60896498           3.56538502           3.16850847
  2     2           0.60896498           3.56538502           3.16850847
  3    -3           0.00225716           0.02714636           0.00982484
  3    -2           0.00225716           0.02714636           0.00982484
  3    -1           0.00225716           0.02714636           0.00982484
  3     0           0.00225716           0.02714636           0.00982484
  3     1           0.00225716           0.02714636           0.00982484
  3     2           0.00225716           0.02714636           0.00982484
  3     3           0.00225716           0.02714636           0.00982484
Atom: Zr, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65668143
Total DOS in Cell and MT Volumes =   16.49876070  13.24961004
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.99032414           0.76681627           0.49082638
  1    -1          -0.41479102           0.40590496           0.22390264
  1     0          -0.41479102           0.40590496           0.22390264
  1     1          -0.41479102           0.40590496           0.22390264
  2    -2           0.77991734           2.85772945           2.39909618
  2    -1           0.77991734           2.85772945           2.39909618
  2     0           0.77991734           2.85772945           2.39909618
  2     1           0.77991734           2.85772945           2.39909618
  2     2           0.77991734           2.85772945           2.39909618
  3    -3           0.00841250           0.03222604           0.01308498
  3    -2           0.00841250           0.03222604           0.01308498
  3    -1           0.00841250           0.03222604           0.01308498
  3     0           0.00841250           0.03222604           0.01308498
  3     1           0.00841250           0.03222604           0.01308498
  3     2           0.00841250           0.03222604           0.01308498
  3     3           0.00841250           0.03222604           0.01308498
