Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65668143
Total DOS in Cell and MT Volumes =   20.49722496  15.16580693
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.95572038           0.69273157           0.44633950
  1    -1          -0.40947196           1.59331719           0.86752273
  1     0          -0.40947196           1.59331719           0.86752273
  1     1          -0.40947196           1.59331719           0.86752273
  2    -2           0.78584102           2.59607582           2.15922486
  2    -1           0.78584102           3.76048097           3.12799307
  2     0           0.78584102           1.43167066           1.19045665
  2     1           0.78584102           3.76048097           3.12799307
  2     2           0.78584102           2.59607582           2.15922486
  3    -3           0.00686563           0.11156902           0.04464110
  3    -2           0.00686563           0.15242956           0.06098937
  3    -1           0.00686563           0.14567576           0.05828610
  3     0           0.00686563           0.06040891           0.02417359
  3     1           0.00686563           0.14567576           0.05828610
  3     2           0.00686563           0.15242956           0.06098937
  3     3           0.00686563           0.11156902           0.04464110
Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65668143
Total DOS in Cell and MT Volumes =   22.59371287  17.70649548
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.89344701           0.66653259           0.44257975
  1    -1          -0.34123485           1.72130478           0.95152514
  1     0          -0.34123485           1.72130478           0.95152514
  1     1          -0.34123485           1.72130478           0.95152514
  2    -2           1.12565438           2.93975398           2.60128456
  2    -1           1.12565438           4.12782503           3.65260212
  2     0           1.12565438           1.75168293           1.54996699
  2     1           1.12565438           4.12782503           3.65260212
  2     2           1.12565438           2.93975398           2.60128456
  3    -3           0.00742891           0.11024509           0.04422796
  3    -2           0.00742891           0.15378713           0.06169518
  3    -1           0.00742891           0.14549562           0.05836759
  3     0           0.00742891           0.05736928           0.02301851
  3     1           0.00742891           0.14549562           0.05836759
  3     2           0.00742891           0.15378713           0.06169518
  3     3           0.00742891           0.11024509           0.04422796
Atom: Ta, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65668143
Total DOS in Cell and MT Volumes =   20.88440199  16.04665644
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.87304065           0.64725077           0.43020149
  1    -1          -0.35154487           1.70048646           0.93051412
  1     0          -0.35154487           1.70048646           0.93051412
  1     1          -0.35154487           1.70048646           0.93051412
  2    -2           1.14910487           2.64192275           2.31123563
  2    -1           1.14910487           3.69583291           3.23323679
  2     0           1.14910487           1.58801258           1.38923448
  2     1           1.14910487           3.69583291           3.23323679
  2     2           1.14910487           2.64192275           2.31123563
  3    -3           0.00736837           0.10984664           0.04367023
  3    -2           0.00736837           0.15274671           0.06072458
  3    -1           0.00736837           0.14472929           0.05753609
  3     0           0.00736837           0.05752268           0.02287145
  3     1           0.00736837           0.14472929           0.05753609
  3     2           0.00736837           0.15274671           0.06072458
  3     3           0.00736837           0.10984664           0.04367023
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65668143
Total DOS in Cell and MT Volumes =   28.16748759  23.01127447
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.81037327           0.65206448           0.45479810
  1    -1          -0.23881249           1.59994135           0.92484870
  1     0          -0.23881249           1.59994135           0.92484870
  1     1          -0.23881249           1.59994135           0.92484870
  2    -2           0.60896498           4.05310623           3.60068234
  2    -1           0.60896498           5.74520545           5.10489392
  2     0           0.60896498           2.36100701           2.09647076
  2     1           0.60896498           5.74520545           5.10489392
  2     2           0.60896498           4.05310623           3.60068234
  3    -3           0.00225716           0.09436054           0.03414911
  3    -2           0.00225716           0.13494204           0.04883489
  3    -1           0.00225716           0.12692438           0.04593251
  3     0           0.00225716           0.04551478           0.01647399
  3     1           0.00225716           0.12692438           0.04593251
  3     2           0.00225716           0.13494204           0.04883489
  3     3           0.00225716           0.09436054           0.03414911
Atom: Zr, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65668143
Total DOS in Cell and MT Volumes =   21.27531699  15.93842529
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.99032414           0.72153318           0.46171007
  1    -1          -0.41479102           1.60014812           0.88266954
  1     0          -0.41479102           1.60014812           0.88266954
  1     1          -0.41479102           1.60014812           0.88266954
  2    -2           0.77991734           2.72504834           2.28703288
  2    -1           0.77991734           3.94646373           3.31245828
  2     0           0.77991734           1.50363294           1.26160747
  2     1           0.77991734           3.94646373           3.31245828
  2     2           0.77991734           2.72504834           2.28703288
  3    -3           0.00841250           0.11507605           0.04672180
  3    -2           0.00841250           0.15695212           0.06372266
  3    -1           0.00841250           0.14987180           0.06084682
  3     0           0.00841250           0.06288243           0.02553427
  3     1           0.00841250           0.14987180           0.06084682
  3     2           0.00841250           0.15695212           0.06372266
  3     3           0.00841250           0.11507605           0.04672180
