Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65605162
Total DOS in Cell and MT Volumes =   21.79005531  18.58525507
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.77684925           0.94380949           0.66398186
  1    -1          -0.22225570           0.58007038           0.33812969
  1     0          -0.22225570           0.58007038           0.33812969
  1     1          -0.22225570           0.58007038           0.33812969
  2    -2           0.65432732           3.78269814           3.36731776
  2    -1           0.65432732           3.78269814           3.36731776
  2     0           0.65432732           3.78269814           3.36731776
  2     1           0.65432732           3.78269814           3.36731776
  2     2           0.65432732           3.78269814           3.36731776
  3    -3           0.00290523           0.02750629           0.01004219
  3    -2           0.00290523           0.02750629           0.01004219
  3    -1           0.00290523           0.02750629           0.01004219
  3     0           0.00290523           0.02750629           0.01004219
  3     1           0.00290523           0.02750629           0.01004219
  3     2           0.00290523           0.02750629           0.01004219
  3     3           0.00290523           0.02750629           0.01004219
