Atom: Mg, Spin: 1, Partial Phase Shift and DOS at Energy =    0.42325290
Total DOS in Cell and MT Volumes =    8.78415086   6.48523264
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.13179714           1.49212636           1.31599497
  1    -1           0.18995264           1.85558583           1.38491728
  1     0           0.18995264           1.85654915           1.38491728
  1     1           0.18995264           1.85751246           1.38491728
  2    -2           0.02932085           0.29418411           0.17346278
  2    -1           0.03408832           0.33453547           0.21754129
  2     0           0.02455339           0.25549074           0.12938427
  2     1           0.03408832           0.33450371           0.21754129
  2     2           0.02932085           0.29582624           0.17346278
  3    -3           0.00080871           0.03003304           0.01608673
  3    -2           0.00136657           0.01832593           0.00905270
  3    -1           0.00099556           0.02482210           0.01317729
  3     0           0.00052843           0.04028975           0.02045090
  3     1           0.00099557           0.02488613           0.01317729
  3     2           0.00136657           0.01831804           0.00905270
  3     3           0.00080871           0.03202370           0.01608673
  4    -4           0.00000518           0.00083949           0.00065254
  4    -3           0.00004519           0.00302906           0.00074809
  4    -2           0.00002925           0.00226417           0.00049552
  4    -1           0.00003027           0.00283602           0.00087472
  4     0          -0.00002871          -0.00047557           0.00046734
  4     1           0.00003027           0.00283626           0.00087472
  4     2           0.00002925           0.00264923           0.00049552
  4     3           0.00004519           0.00299755           0.00074809
  4     4           0.00000518           0.00216187           0.00065254
