Atom: Mg, Spin: 1, Partial Phase Shift and DOS at Energy =    0.42409225
Total DOS in Cell and MT Volumes =    5.94237258   4.45349718
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.13174932           1.54723956           1.36329533
  1    -1           0.19106293           1.15125349           0.85050000
  1     0           0.19106293           1.15125349           0.85050000
  1     1           0.19106293           1.15125349           0.85050000
  2    -2           0.03111734           0.17110211           0.10064614
  2    -1           0.03111734           0.17110211           0.10064614
  2     0           0.03111734           0.17110211           0.10064614
  2     1           0.03111734           0.17110211           0.10064614
  2     2           0.03111734           0.17110211           0.10064614
  3    -3           0.00113001           0.01150035           0.00483279
  3    -2           0.00113001           0.01150035           0.00483279
  3    -1           0.00113001           0.01150035           0.00483279
  3     0           0.00113001           0.01150035           0.00483279
  3     1           0.00113001           0.01150035           0.00483279
  3     2           0.00113001           0.01150035           0.00483279
  3     3           0.00113001           0.01150035           0.00483279
  4    -4           0.00003513           0.00059550           0.00018240
  4    -3           0.00003513           0.00059550           0.00018240
  4    -2           0.00003513           0.00059550           0.00018240
  4    -1           0.00003513           0.00059550           0.00018240
  4     0           0.00003513           0.00059550           0.00018240
  4     1           0.00003513           0.00059550           0.00018240
  4     2           0.00003513           0.00059550           0.00018240
  4     3           0.00003513           0.00059550           0.00018240
  4     4           0.00003513           0.00059550           0.00018240
