Atom: Mg, Spin: 1, Partial Phase Shift and DOS at Energy =    0.42409225
Total DOS in Cell and MT Volumes =    6.12179973   4.53861998
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.13174932           1.87751796           1.65422062
  1    -1           0.19106293           0.92132880           0.68045939
  1     0           0.19106293           0.92132880           0.68045939
  1     1           0.19106293           0.92132880           0.68045939
  2    -2           0.03111734           0.23927088           0.14072173
  2    -1           0.03111734           0.36677846           0.21572849
  2     0           0.03111734           0.11176329           0.06571497
  2     1           0.03111734           0.36677846           0.21572849
  2     2           0.03111734           0.23927088           0.14072173
  3    -3           0.00113001           0.02014824           0.00846723
  3    -2           0.00113001           0.02189318           0.00920065
  3    -1           0.00113001           0.02049249           0.00861231
  3     0           0.00113001           0.01963188           0.00824959
  3     1           0.00113001           0.02049249           0.00861231
  3     2           0.00113001           0.02189318           0.00920065
  3     3           0.00113001           0.02014824           0.00846723
  4    -4           0.00003513           0.00129760           0.00039766
  4    -3           0.00003513           0.00142677           0.00043719
  4    -2           0.00003513           0.00099082           0.00030372
  4    -1           0.00003513           0.00154649           0.00047391
  4     0           0.00003513           0.00121033           0.00037086
  4     1           0.00003513           0.00154649           0.00047391
  4     2           0.00003513           0.00099082           0.00030372
  4     3           0.00003513           0.00142677           0.00043719
  4     4           0.00003513           0.00129760           0.00039766
