Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.86256733
Total DOS in Cell and MT Volumes =    7.36414797   5.73706688
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.06190410           0.20674553           0.11954928
  1    -1          -0.44636410           0.33896858           0.14459841
  1     0          -0.44344152           0.31946914           0.13712730
  1     1          -0.44634786           0.33748569           0.14459841
  2    -2           1.69591063           1.18343895           1.03554678
  2    -1           1.74422004           1.25763778           1.13241142
  2     0           1.67571278           0.82547411           0.71227348
  2     1           1.74428944           1.25835923           1.13241142
  2     2           1.69582767           1.17836151           1.03554678
  3    -3           0.00743386           0.06281407           0.01937773
  3    -2           0.00946078           0.04251411           0.01798513
  3    -1           0.00757106           0.05617564           0.01769992
  3     0           0.00827186           0.06192280           0.01893336
  3     1           0.00757169           0.06384818           0.01769992
  3     2           0.00946039           0.05580294           0.01798513
  3     3           0.00743424           0.07169371           0.01937773
  4    -4           0.00003824           0.00155751           0.00109389
  4    -3           0.00022416          -0.00323157           0.00192480
  4    -2           0.00012434           0.00247196           0.00174421
  4    -1           0.00006197           0.00600220           0.00113329
  4     0           0.00013762           0.00837222           0.00215230
  4     1           0.00006197           0.00772640           0.00113329
  4     2           0.00012434           0.00433975           0.00174421
  4     3           0.00022416           0.00664573           0.00192480
  4     4           0.00003824           0.00955180           0.00109389
