Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.85405086
Total DOS in Cell and MT Volumes =   16.75409994  14.78916035
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.02565343           0.65061280           0.41381822
  1    -1          -0.41879800           0.37310178           0.20206391
  1     0          -0.41879006           0.37370900           0.20207049
  1     1          -0.41879800           0.37444652           0.20206391
  2    -2           1.80819744           2.98813134           2.75905888
  2    -1           1.84259776           2.79748787           2.62935485
  2     0           1.77383902           3.17036930           2.88850771
  2     1           1.84259776           2.80486138           2.62935485
  2     2           1.80819674           2.98387702           2.75905888
  3    -3           0.00973572           0.03526293           0.01388078
  3    -2           0.01156255           0.02945923           0.01431249
  3    -1           0.00990623           0.03630756           0.01391219
  3     0           0.00948348           0.03542209           0.01383326
  3     1           0.00990624           0.03635063           0.01391219
  3     2           0.01156254           0.02995776           0.01431249
  3     3           0.00973573           0.03667318           0.01388078
  4    -4           0.00023994          -0.00112305           0.00062814
  4    -3           0.00038601          -0.00542389           0.00065382
  4    -2           0.00032949          -0.00105278           0.00066991
  4    -1           0.00025373           0.00206780           0.00060183
  4     0           0.00024724          -0.00136700           0.00065708
  4     1           0.00025373           0.00210488           0.00060183
  4     2           0.00032949          -0.00182199           0.00066991
  4     3           0.00038601           0.00198843           0.00065382
  4     4           0.00023994           0.00269716           0.00062814
