Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.80958478
Total DOS in Cell and MT Volumes =   17.32780293  15.45620111
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.96922916           0.69175358           0.45668846
  1    -1          -0.38367499           0.39621283           0.22072216
  1     0          -0.38367499           0.39692439           0.22072216
  1     1          -0.38367499           0.39763595           0.22072216
  2    -2           1.86862912           3.08426297           2.87656800
  2    -1           1.90192825           2.88663895           2.73432058
  2     0           1.83533000           3.27804100           3.01881541
  2     1           1.90192825           2.88663895           2.73432058
  2     2           1.86862912           3.08041699           2.87656800
  3    -3           0.00915621           0.03373065           0.01370415
  3    -2           0.01078234           0.02824537           0.01410949
  3    -1           0.00929784           0.03480973           0.01373182
  3     0           0.00894377           0.03389022           0.01366265
  3     1           0.00929785           0.03480835           0.01373182
  3     2           0.01078234           0.02864064           0.01410949
  3     3           0.00915622           0.03515238           0.01370415
